"",BBK01.OEAB04O,BBK01.OEAB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:37,
2002-01,50.072,
2002-04,50.338,
2002-07,51.118,
2002-10,51.363,
2003-01,52.785,
2003-04,51.695,
2003-07,47.761,
2003-10,51.975,
2004-01,52.398,
2004-04,52.312,
2004-07,51.896,
2004-10,55.429,
2005-01,93.831,
2005-04,94.329,
2005-07,94.905,
2005-10,95.392,
2006-01,95.188,
2006-04,95.547,
2006-07,95.847,
2006-10,96.193,
2007-01,95.780,
2007-04,96.163,
2007-07,95.987,
2007-10,95.656,
2008-01,95.018,
2008-04,95.287,
2008-07,90.400,
2008-10,88.682,
2009-01,88.522,
2009-04,88.682,
2009-07,89.221,
2009-10,91.468,
2010-01,91.013,
2010-04,90.050,
2010-07,90.583,
2010-10,90.559,
2011-01,89.642,
2011-04,89.940,
2011-07,90.878,
2011-10,91.014,
2012-01,90.473,
2012-04,92.113,
2012-07,91.942,
2012-10,92.921,
2013-01,92.546,
2013-04,92.449,
2013-07,97.943,
2013-10,99.052,
2014-01,99.775,
2014-04,98.993,
2014-07,99.156,
