"",BBK01.OECI06V,BBK01.OECI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:58,
2002-01,0.064,
2002-04,0.067,
2002-07,0.062,
2002-10,0.054,
2003-01,0.051,
2003-04,0.049,
2003-07,0.041,
2003-10,0.035,
2004-01,0.030,
2004-04,0.082,
2004-07,0.075,
2004-10,0.059,
2005-01,0.048,
2005-04,0.040,
2005-07,0.035,
2005-10,0.030,
2006-01,0.025,
2006-04,0.023,
2006-07,0.022,
2006-10,0.020,
2007-01,0.015,
2007-04,0.013,
2007-07,0.012,
2007-10,0.012,
2008-01,0.011,
2008-04,0.011,
2008-07,0.017,
2008-10,0.014,
2009-01,0.012,
2009-04,0.011,
2009-07,0.007,
2009-10,0.006,
2010-01,0.006,
2010-04,0.005,
2010-07,0.005,
2010-10,0.005,
2011-01,0.003,
2011-04,0.048,
2011-07,0.056,
2011-10,0.069,
2012-01,0.081,
2012-04,0.083,
2012-07,0.084,
2012-10,0.060,
2013-01,0.053,
2013-04,0.050,
2013-07,0.052,
2013-10,0.060,
2014-01,0.063,
2014-04,0.065,
2014-07,0.057,
