"",BBSF2.M.1.T.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds total / Number / World not allocated (geographically) / All issuer sectors,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:03,
1970-01,123,
1970-02,125,
1970-03,129,
1970-04,135,
1970-05,137,
1970-06,138,
1970-07,139,
1970-08,149,
1970-09,157,
1970-10,162,
1970-11,165,
1970-12,172,
1971-01,172,
1971-02,174,
1971-03,178,
1971-04,179,
1971-05,180,
1971-06,186,
1971-07,192,
1971-08,193,
1971-09,197,
1971-10,204,
1971-11,207,
1971-12,209,
1972-01,214,
1972-02,214,
1972-03,216,
1972-04,223,
1972-05,226,
1972-06,227,
1972-07,232,
1972-08,236,
1972-09,237,
1972-10,238,
1972-11,239,
1972-12,243,
1973-01,244,
1973-02,246,
1973-03,251,
1973-04,256,
1973-05,258,
1973-06,263,
1973-07,265,
1973-08,265,
1973-09,268,
1973-10,277,
1973-11,280,
1973-12,281,
1974-01,281,
1974-02,286,
1974-03,287,
1974-04,287,
1974-05,292,
1974-06,294,
1974-07,296,
1974-08,302,
1974-09,301,
1974-10,302,
1974-11,304,
1974-12,307,
1975-01,309,
1975-02,312,
1975-03,313,
1975-04,314,
1975-05,316,
1975-06,318,
1975-07,325,
1975-08,327,
1975-09,325,
1975-10,329,
1975-11,329,
1975-12,337,
1976-01,339,
1976-02,342,
1976-03,344,
1976-04,347,
1976-05,353,
1976-06,357,
1976-07,355,
1976-08,357,
1976-09,358,
1976-10,365,
1976-11,368,
1976-12,372,
1977-01,377,
1977-02,381,
1977-03,387,
1977-04,395,
1977-05,398,
1977-06,404,
1977-07,407,
1977-08,414,
1977-09,417,
1977-10,427,
1977-11,429,
1977-12,440,
1978-01,443,
1978-02,447,
1978-03,449,
1978-04,453,
1978-05,458,
1978-06,467,
1978-07,477,
1978-08,481,
1978-09,486,
1978-10,489,
1978-11,491,
1978-12,498,
1979-01,511,
1979-02,519,
1979-03,525,
1979-04,531,
1979-05,534,
1979-06,536,
1979-07,542,
1979-08,545,
1979-09,550,
1979-10,556,
1979-11,560,
1979-12,566,
1980-01,569,
1980-02,577,
1980-03,578,
1980-04,582,
1980-05,585,
1980-06,589,
1980-07,599,
1980-08,601,
1980-09,603,
1980-10,606,
1980-11,605,
1980-12,605,
1981-01,605,
1981-02,607,
1981-03,609,
1981-04,609,
1981-05,613,
1981-06,617,
1981-07,620,
1981-08,619,
1981-09,626,
1981-10,629,
1981-11,633,
1981-12,636,
1982-01,640,
1982-02,647,
1982-03,649,
1982-04,655,
1982-05,658,
1982-06,665,
1982-07,666,
1982-08,666,
1982-09,665,
1982-10,669,
1982-11,669,
1982-12,675,
1983-01,678,
1983-02,682,
1983-03,687,
1983-04,691,
1983-05,692,
1983-06,695,
1983-07,701,
1983-08,701,
1983-09,702,
1983-10,706,
1983-11,711,
1983-12,716,
1984-01,722,
1984-02,732,
1984-03,736,
1984-04,739,
1984-05,742,
1984-06,746,
1984-07,758,
1984-08,765,
1984-09,770,
1984-10,777,
1984-11,783,
1984-12,786,
1985-01,795,
1985-02,800,
1985-03,802,
1985-04,809,
1985-05,818,
1985-06,821,
1985-07,834,
1985-08,839,
1985-09,847,
1985-10,861,
1985-11,871,
1985-12,885,
1986-01,902,
1986-02,911,
1986-03,929,
1986-04,948,
1986-05,964,
1986-06,980,
1986-07,993,
1986-08,1015,
1986-09,1020,
1986-10,1032,
1986-11,1043,
1986-12,1065,
1987-01,1081,
1987-02,1097,
1987-03,1113,
1987-04,1127,
1987-05,1143,
1987-06,1163,
1987-07,1179,
1987-08,1199,
1987-09,1217,
1987-10,1238,
1987-11,1258,
1987-12,1275,
1988-01,1295,
1988-02,1316,
1988-03,1326,
1988-04,1346,
1988-05,1368,
1988-06,1399,
1988-07,1423,
1988-08,1446,
1988-09,1457,
1988-10,1472,
1988-11,1484,
1988-12,1507,
1989-01,1533,
1989-02,1548,
1989-03,1555,
1989-04,1582,
1989-05,1597,
1989-06,1616,
1989-07,1636,
1989-08,1650,
1989-09,1672,
1989-10,1695,
1989-11,1705,
1989-12,1740,
1990-01,1765,
1990-02,1820,
1990-03,1825,
1990-04,1847,
1990-05,1863,
1990-06,1883,
1990-07,1899,
1990-08,1914,
1990-09,1926,
1990-10,1948,
1990-11,1965,
1990-12,1996,
1991-01,2014,
1991-02,2033,
1991-03,2044,
1991-04,2062,
1991-05,2088,
1991-06,2104,
1991-07,2134,
1991-08,2146,
1991-09,2161,
1991-10,2188,
1991-11,2208,
1991-12,2226,
1992-01,2261,
1992-02,2297,
1992-03,2315,
1992-04,2336,
1992-05,2351,
1992-06,2360,
1992-07,2376,
1992-08,2386,
1992-09,2401,
1992-10,2415,
1992-11,2426,
1992-12,2434,
1993-01,2452,
1993-02,2483,
1993-03,2492,
1993-04,2517,
1993-05,2532,
1993-06,2542,
1993-07,2571,
1993-08,2592,
1993-09,2615,
