"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:11,
1991-01,-3.385,
1991-04,-3.335,
1991-07,12.284,
1991-10,10.973,
1992-01,-39.444,
1992-04,2.446,
1992-07,3.680,
1992-10,-22.332,
1993-01,-3.770,
1993-04,8.332,
1993-07,2.972,
1993-10,10.994,
1994-01,-55.365,
1994-04,-50.641,
1994-07,-7.000,
1994-10,45.859,
1995-01,95.421,
1995-04,-82.508,
1995-07,7.626,
1995-10,-24.010,
1996-01,32.426,
1996-04,-98.326,
1996-07,30.578,
1996-10,45.421,
1997-01,-18.337,
1997-04,33.611,
1997-07,117.089,
1997-10,-77.350,
1998-01,32.816,
1998-04,260.169,
1998-07,-18.485,
1998-10,-128.525,
1999-01,256.327,
1999-04,-65.877,
1999-07,80.507,
1999-10,386.424,
2000-01,490.038,
2000-04,1127.151,
2000-07,-80.914,
2000-10,602.188,
2001-01,2477.548,
2001-04,2010.288,
2001-07,-659.921,
2001-10,108.036,
2002-01,690.644,
2002-04,3096.137,
2002-07,283.659,
2002-10,118.990,
2003-01,-263.506,
2003-04,978.085,
2003-07,-186.148,
2003-10,-103.742,
2004-01,-569.533,
2004-04,899.505,
2004-07,-2.734,
2004-10,-158.042,
2005-01,-527.435,
2005-04,-2872.281,
2005-07,-425.532,
2005-10,-512.348,
2006-01,-155.306,
2006-04,-236.281,
2006-07,-204.472,
2006-10,-583.360,
2007-01,101.491,
2007-04,2090.334,
2007-07,-444.745,
2007-10,326.426,
2008-01,1434.212,
2008-04,6506.628,
2008-07,-940.261,
2008-10,149.896,
2009-01,354.130,
2009-04,-293.668,
2009-07,580.946,
2009-10,334.878,
2010-01,376.770,
2010-04,984.588,
2010-07,754.992,
2010-10,326.525,
2011-01,-552.528,
2011-04,797.021,
2011-07,868.562,
2011-10,27.979,
2012-01,52.720,
2012-04,1019.139,
2012-07,266.251,
2012-10,339.804,
2013-01,-135.971,
2013-04,192.619,
2013-07,-812.123,
2013-10,-583.580,
2014-01,-867.595,Provisional value
2014-04,447.495,Provisional value
2014-07,319.863,Provisional value
2014-10,118.394,Provisional value
