"",BBDA1.M.DE.N.SD.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.SD.S.A.W1.A.V.ABA.L_FLAGS
"","German foreign trade: balance / At current prices, flows / Aggregate / all goods / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:40:09,
1950-01,-0.27,
1950-02,-0.12,
1950-03,-0.12,
1950-04,-0.11,
1950-05,-0.04,
1950-06,-0.07,
1950-07,-0.11,
1950-08,-0.06,
1950-09,-0.16,
1950-10,-0.21,
1950-11,-0.12,
1950-12,-0.16,
1951-01,-0.16,
1951-02,-0.12,
1951-03,-0.09,
1951-04,0.04,
1951-05,0.05,
1951-06,0.09,
1951-07,0.08,
1951-08,0.06,
1951-09,-0.11,
1951-10,0.04,
1951-11,-0.05,
1951-12,0.10,
1952-01,-0.05,
1952-02,-0.10,
1952-03,-0.04,
1952-04,0.02,
1952-05,0.12,
1952-06,0.13,
1952-07,0.13,
1952-08,0.08,
1952-09,0.08,
1952-10,-0.02,
1952-11,-0.02,
1952-12,0.03,
1953-01,-0.05,
1953-02,0.03,
1953-03,0.10,
1953-04,0.14,
1953-05,0.10,
1953-06,0.11,
1953-07,0.14,
1953-08,0.13,
1953-09,0.08,
1953-10,0.15,
1953-11,0.09,
1953-12,0.26,
1954-01,0.10,
1954-02,0.15,
1954-03,0.18,
1954-04,0.10,
1954-05,0.13,
1954-06,0.08,
1954-07,0.17,
1954-08,0.16,
1954-09,0.07,
1954-10,0.07,
1954-11,0.04,
1954-12,0.14,
1955-01,0.05,
1955-02,0.05,
1955-03,0.11,
1955-04,-0.01,
1955-05,0.13,
1955-06,0.04,
1955-07,0.03,
1955-08,-0.02,
1955-09,-0.01,
1955-10,0.07,
1955-11,0.08,
1955-12,0.13,
1956-01,-0.01,
1956-02,0.13,
1956-03,0.09,
1956-04,0.20,
1956-05,0.13,
1956-06,0.17,
1956-07,0.09,
1956-08,0.06,
1956-09,0.12,
1956-10,0.13,
1956-11,0.11,
1956-12,0.26,
1957-01,-0.05,
1957-02,0.14,
1957-03,0.28,
1957-04,0.13,
1957-05,0.27,
