"",BBK01.OEYB15K,BBK01.OEYB15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:01,
2002-01,0.368,
2002-04,0.357,
2002-07,0.371,
2002-10,0.848,
2003-01,0.872,
2003-04,0.814,
2003-07,0.801,
2003-10,0.781,
2004-01,0.508,
2004-04,0.701,
2004-07,0.673,
2004-10,0.448,
2005-01,0.502,
2005-04,0.464,
2005-07,0.440,
2005-10,0.374,
2006-01,0.285,
2006-04,0.269,
2006-07,0.260,
2006-10,0.264,
2007-01,0.242,
2007-04,0.254,
2007-07,0.251,
2007-10,0.220,
2008-01,0.195,
2008-04,0.203,
2008-07,0.197,
2008-10,0.207,
2009-01,0.221,
2009-04,0.213,
2009-07,0.144,
2009-10,0.137,
2010-01,0.121,
2010-04,0.133,
2010-07,0.160,
2010-10,0.136,
2011-01,0.159,
2011-04,0.154,
2011-07,0.133,
2011-10,0.129,
2012-01,0.144,
2012-04,0.126,
2012-07,0.114,
2012-10,0.103,
2013-01,0.089,
2013-04,0.080,
2013-07,0.071,
2013-10,0.063,
2014-01,0.072,
2014-04,0.081,
2014-07,0.082,
