"",BBK01.OELM02H,BBK01.OELM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:32,
2002-01,0.251,
2002-04,0.256,
2002-07,0.226,
2002-10,0.277,
2003-01,0.228,
2003-04,0.245,
2003-07,0.264,
2003-10,0.338,
2004-01,0.294,
2004-04,0.327,
2004-07,0.331,
2004-10,0.394,
2005-01,0.365,
2005-04,0.391,
2005-07,0.388,
2005-10,0.433,
2006-01,0.378,
2006-04,0.412,
2006-07,0.395,
2006-10,0.415,
2007-01,0.360,
2007-04,0.389,
2007-07,0.358,
2007-10,0.415,
2008-01,0.371,
2008-04,0.387,
2008-07,0.370,
2008-10,0.459,
2009-01,0.465,
2009-04,0.566,
2009-07,0.739,
2009-10,0.909,
2010-01,0.723,
2010-04,0.756,
2010-07,0.782,
2010-10,0.824,
2011-01,0.788,
2011-04,0.848,
2011-07,0.753,
2011-10,0.845,
2012-01,0.829,
2012-04,0.978,
2012-07,1.108,
2012-10,1.232,
2013-01,1.493,
2013-04,1.531,
2013-07,1.469,
2013-10,1.371,
2014-01,1.620,
2014-04,1.692,
2014-07,1.686,
