"",BBFN1.M.DE.N.1.L.TH.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TH.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:39,
1995-01,0.008,
1995-02,0.007,
1995-03,0.004,
1995-04,0.004,
1995-05,0.006,
1995-06,0.006,
1995-07,0.007,
1995-08,0.004,
1995-09,0.013,
1995-10,0.011,
1995-11,0.011,
1995-12,0.012,
1996-01,0.012,
1996-02,0.010,
1996-03,0.010,
1996-04,0.010,
1996-05,0.009,
1996-06,0.013,
1996-07,0.010,
1996-08,0.034,
1996-09,0.039,
1996-10,0.040,
1996-11,0.034,
1996-12,0.041,
1997-01,0.042,
1997-02,0.039,
1997-03,0.041,
1997-04,0.042,
1997-05,0.057,
1997-06,0.049,
1997-07,0.055,
1997-08,0.062,
1997-09,0.067,
1997-10,0.071,
1997-11,0.067,
1997-12,0.069,
1998-01,0.064,
1998-02,0.064,
1998-03,0.066,
1998-04,0.069,
1998-05,0.071,
1998-06,0.085,
1998-07,0.083,
1998-08,0.109,
1998-09,0.081,
1998-10,0.087,
1998-11,0.098,
1998-12,0.098,
1999-01,0.127,
1999-02,0.132,
1999-03,0.126,
1999-04,0.131,
1999-05,0.121,
1999-06,0.109,
1999-07,0.110,
1999-08,0.109,
1999-09,0.113,
1999-10,0.113,
1999-11,0.110,
1999-12,0.116,
2000-01,0.105,
2000-02,0.109,
2000-03,0.109,
2000-04,0.106,
2000-05,0.120,
2000-06,0.114,
2000-07,0.117,
2000-08,0.120,
2000-09,0.115,
2000-10,0.118,
2000-11,0.121,
2000-12,0.124,
2001-01,0.119,
2001-02,0.135,
2001-03,0.120,
2001-04,0.100,
2001-05,0.107,
2001-06,0.107,
2001-07,0.109,
2001-08,0.111,
2001-09,0.112,
2001-10,0.114,
2001-11,0.116,
2001-12,0.113,
2002-01,0.112,
2002-02,0.114,
2002-03,0.115,
2002-04,0.118,
2002-05,0.119,
2002-06,0.125,
2002-07,0.122,
2002-08,0.134,
2002-09,0.134,
2002-10,0.133,
2002-11,0.130,
2002-12,0.129,
2003-01,0.128,
2003-02,0.123,
2003-03,0.125,
2003-04,0.132,
2003-05,0.137,
2003-06,0.140,
2003-07,0.143,
2003-08,0.137,
2003-09,0.138,
2003-10,0.126,
2003-11,0.130,
2003-12,0.132,
2004-01,0.115,
2004-02,0.108,
2004-03,0.126,
2004-04,0.123,
2004-05,0.122,
2004-06,0.126,
2004-07,0.125,
2004-08,0.123,
2004-09,0.125,
2004-10,0.124,
2004-11,0.123,
2004-12,0.123,
2005-01,0.110,
2005-02,0.111,
2005-03,0.125,
2005-04,0.126,
2005-05,0.127,
2005-06,0.127,
2005-07,0.139,
2005-08,0.132,
2005-09,0.135,
2005-10,0.127,
2005-11,0.122,
2005-12,0.134,
2006-01,0.116,
2006-02,0.123,
2006-03,0.121,
2006-04,0.120,
2006-05,0.139,
2006-06,0.123,
2006-07,0.122,
2006-08,0.124,
2006-09,0.121,
2006-10,0.120,
2006-11,0.124,
2006-12,0.116,
2007-01,0.118,
2007-02,0.122,
2007-03,0.128,
2007-04,0.126,
2007-05,0.129,
2007-06,0.128,
2007-07,0.132,
2007-08,0.131,
2007-09,0.128,
2007-10,0.137,
2007-11,0.136,
2007-12,0.134,
2008-01,0.134,
2008-02,0.134,
2008-03,0.134,
2008-04,0.132,
2008-05,0.131,
2008-06,0.071,
2008-07,0.050,
2008-08,0.041,
2008-09,0.043,
2008-10,0.042,
2008-11,0.043,
2008-12,0.047,
2009-01,0.045,
2009-02,0.043,
2009-03,0.035,
2009-04,0.032,
2009-05,0.048,
2009-06,0.045,
2009-07,0.045,
2009-08,0.044,
2009-09,0.045,
2009-10,0.046,
2009-11,0.048,
2009-12,0.050,
2010-01,0.053,
2010-02,0.460,
2010-03,0.053,
2010-04,0.103,
2010-05,0.051,
2010-06,0.044,
2010-07,0.044,
2010-08,0.047,
2010-09,0.053,
2010-10,0.064,
2010-11,0.057,
2010-12,0.072,
2011-01,0.067,
2011-02,0.075,
2011-03,0.102,
2011-04,0.090,
2011-05,0.104,
2011-06,0.098,
2011-07,0.103,
2011-08,0.108,
2011-09,0.115,
2011-10,0.112,
2011-11,0.107,
2011-12,0.101,
2012-01,0.095,
2012-02,0.107,
2012-03,0.149,
2012-04,0.138,
2012-05,0.133,
2012-06,0.126,
2012-07,0.171,
2012-08,0.177,
2012-09,0.182,
2012-10,0.152,
2012-11,0.162,
2012-12,0.292,
2013-01,0.264,
2013-02,0.259,
2013-03,0.261,
2013-04,0.264,
2013-05,0.250,
2013-06,0.261,
2013-07,0.264,
2013-08,0.264,
2013-09,0.325,
2013-10,0.325,
2013-11,0.316,
2013-12,0.345,
2014-01,0.339,
2014-02,0.328,
2014-03,0.342,
2014-04,0.329,
2014-05,0.325,
2014-06,0.315,
2014-07,0.337,
2014-08,0.343,
2014-09,0.336,
2014-10,0.345,
2014-11,0.350,
2014-12,0.330,
