"",BBSF2.M.1.P.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:14:46,
1970-01,3,
1970-02,4,
1970-03,2,
1970-04,3,
1970-05,1,
1970-06,5,
1970-07,1,
1970-08,2,
1970-09,4,
1970-10,2,
1970-11,28,
1970-12,8,
1971-01,17,
1971-02,12,
1971-03,17,
1971-04,17,
1971-05,26,
1971-06,21,
1971-07,29,
1971-08,19,
1971-09,29,
1971-10,17,
1971-11,18,
1971-12,32,
1972-01,35,
1972-02,50,
1972-03,47,
1972-04,75,
1972-05,39,
1972-06,55,
1972-07,66,
1972-08,49,
1972-09,41,
1972-10,41,
1972-11,37,
1972-12,42,
1973-01,35,
1973-02,26,
1973-03,21,
1973-04,16,
1973-05,9,
1973-06,3,
1973-07,-1,
1973-08,-14,
1973-09,-7,
1973-10,-4,
1973-11,4,
1973-12,-3,
1974-01,1,
1974-02,2,
1974-03,5,
1974-04,6,
1974-05,8,
1974-06,-11,
1974-07,4,
1974-08,-13,
1974-09,-1,
1974-10,-10,
1974-11,-10,
1974-12,-8,
1975-01,4,
1975-02,5,
1975-03,1,
1975-04,6,
1975-05,2,
1975-06,8,
1975-07,9,
1975-08,6,
1975-09,8,
1975-10,8,
1975-11,8,
1975-12,19,
1976-01,11,
1976-02,7,
1976-03,9,
1976-04,10,
1976-05,13,
1976-06,17,
1976-07,13,
1976-08,4,
1976-09,3,
1976-10,4,
1976-11,9,
1976-12,25,
1977-01,13,
1977-02,4,
1977-03,7,
1977-04,10,
1977-05,9,
1977-06,12,
1977-07,18,
1977-08,17,
1977-09,13,
1977-10,7,
1977-11,17,
1977-12,22,
1978-01,54,
1978-02,26,
1978-03,18,
1978-04,22,
1978-05,14,
1978-06,19,
1978-07,28,
1978-08,13,
1978-09,21,
1978-10,12,
1978-11,11,
1978-12,22,
1979-01,27,
1979-02,16,
1979-03,12,
1979-04,17,
1979-05,2,
1979-06,5,
1979-07,16,
1979-08,4,
1979-09,2,
1979-10,1,
1979-11,-4,
1979-12,1,
1980-01,11,
1980-02,5,
1980-03,-2,
1980-04,-4,
1980-05,-2,
1980-06,8,
1980-07,20,
1980-08,12,
1980-09,16,
1980-10,12,
1980-11,7,
1980-12,17,
1981-01,17,
1981-02,7,
1981-03,-7,
1981-04,5,
1981-05,-17,
1981-06,-5,
1981-07,-2,
1981-08,-14,
1981-09,0,
1981-10,-14,
1981-11,-10,
1981-12,-5,
1982-01,36,
1982-02,7,
1982-03,3,
1982-04,8,
1982-05,3,
1982-06,10,
1982-07,15,
1982-08,8,
1982-09,7,
1982-10,13,
1982-11,17,
1982-12,44,
1983-01,127,
1983-02,88,
1983-03,95,
1983-04,113,
1983-05,65,
1983-06,44,
1983-07,59,
1983-08,34,
1983-09,27,
1983-10,35,
1983-11,21,
1983-12,69,
1984-01,97,
1984-02,46,
1984-03,25,
1984-04,40,
1984-05,16,
1984-06,16,
1984-07,53,
1984-08,17,
1984-09,20,
1984-10,12,
1984-11,7,
1984-12,38,
1985-01,100,
1985-02,30,
1985-03,2,
1985-04,116,
1985-05,7,
1985-06,4,
1985-07,34,
1985-08,12,
1985-09,14,
1985-10,22,
1985-11,12,
1985-12,31,
1986-01,94,
1986-02,38,
1986-03,55,
1986-04,82,
1986-05,35,
1986-06,38,
1986-07,70,
1986-08,45,
