"",BBSF2.M.1.S.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Mixed funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:04,
2009-09,354,
2009-10,425,
2009-11,375,
2009-12,103,
2010-01,115,
2010-02,103,
2010-03,79,
2010-04,89,
2010-05,70,
2010-06,67,
2010-07,104,
2010-08,130,
2010-09,98,
2010-10,108,
2010-11,101,
2010-12,128,
2011-01,98,
2011-02,106,
2011-03,246,
2011-04,271,
2011-05,285,
2011-06,298,
2011-07,344,
2011-08,322,
2011-09,391,
2011-10,388,
2011-11,381,
2011-12,620,
2012-01,693,
2012-02,744,
2012-03,695,
2012-04,1894,
2012-05,1912,
2012-06,1924,
2012-07,1659,
2012-08,1437,
2012-09,1610,
2012-10,1356,
2012-11,800,
2012-12,838,
2013-01,745,
2013-02,716,
2013-03,759,
2013-04,908,
2013-05,952,
2013-06,923,
2013-07,859,
2013-08,942,
2013-09,925,
2013-10,1055,
2013-11,1027,
2013-12,778,
2014-01,751,
2014-02,2264,
2014-03,2343,
2014-04,2055,
2014-05,1611,
2014-06,1579,
2014-07,1547,
2014-08,612,
2014-09,593,
2014-10,301,
2014-11,178,
