"",BBK01.OEAF16M,BBK01.OEAF16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:31,
2002-01,0.231,
2002-04,0.225,
2002-07,0.226,
2002-10,0.244,
2003-01,0.170,
2003-04,0.173,
2003-07,0.176,
2003-10,0.186,
2004-01,0.176,
2004-04,0.166,
2004-07,0.159,
2004-10,0.174,
2005-01,0.160,
2005-04,0.157,
2005-07,0.154,
2005-10,0.130,
2006-01,0.132,
2006-04,0.148,
2006-07,0.131,
2006-10,0.118,
2007-01,0.119,
2007-04,0.110,
2007-07,0.104,
2007-10,0.109,
2008-01,0.106,
2008-04,0.107,
2008-07,0.124,
2008-10,0.144,
2009-01,0.171,
2009-04,0.192,
2009-07,0.166,
2009-10,0.124,
2010-01,0.100,
2010-04,0.078,
2010-07,0.074,
2010-10,0.066,
2011-01,0.061,
2011-04,0.057,
2011-07,0.058,
2011-10,0.066,
2012-01,0.068,
2012-04,0.067,
2012-07,0.061,
2012-10,0.060,
2013-01,0.057,
2013-04,0.056,
2013-07,0.054,
2013-10,0.055,
2014-01,0.050,
2014-04,0.047,
2014-07,0.044,
