"",BBK01.OEGB17I,BBK01.OEGB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:04,
2002-01,7.082,
2002-04,7.040,
2002-07,7.040,
2002-10,6.999,
2003-01,7.025,
2003-04,6.955,
2003-07,9.158,
2003-10,8.904,
2004-01,8.685,
2004-04,8.620,
2004-07,4.512,
2004-10,4.416,
2005-01,4.376,
2005-04,4.363,
2005-07,4.783,
2005-10,4.758,
2006-01,4.735,
2006-04,4.727,
2006-07,4.732,
2006-10,3.074,
2007-01,3.031,
2007-04,2.804,
2007-07,2.805,
2007-10,2.771,
2008-01,2.745,
2008-04,3.381,
2008-07,3.380,
2008-10,3.467,
2009-01,3.341,
2009-04,3.393,
2009-07,3.384,
2009-10,3.444,
2010-01,3.339,
2010-04,3.402,
2010-07,3.454,
2010-10,3.503,
2011-01,3.473,
2011-04,3.351,
2011-07,3.313,
2011-10,3.254,
2012-01,3.158,
2012-04,3.136,
2012-07,3.128,
2012-10,3.120,
2013-01,2.996,
2013-04,3.021,
2013-07,3.048,
2013-10,3.214,
2014-01,3.002,
2014-04,2.988,
2014-07,3.064,
