"",BBK01.OEAH17S,BBK01.OEAH17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:14,
2002-01,6.759,
2002-04,6.682,
2002-07,6.645,
2002-10,6.758,
2003-01,6.619,
2003-04,6.576,
2003-07,6.543,
2003-10,6.726,
2004-01,6.636,
2004-04,6.595,
2004-07,6.609,
2004-10,5.497,
2005-01,5.659,
2005-04,5.772,
2005-07,5.770,
2005-10,5.952,
2006-01,6.139,
2006-04,6.248,
2006-07,6.371,
2006-10,6.493,
2007-01,6.756,
2007-04,6.964,
2007-07,7.135,
2007-10,7.388,
2008-01,7.622,
2008-04,7.694,
2008-07,7.953,
2008-10,7.778,
2009-01,7.179,
2009-04,6.654,
2009-07,6.402,
2009-10,6.359,
2010-01,6.310,
2010-04,6.349,
2010-07,6.467,
2010-10,6.451,
2011-01,6.654,
2011-04,6.624,
2011-07,6.630,
2011-10,7.416,
2012-01,7.707,
2012-04,7.867,
2012-07,7.907,
2012-10,7.766,
2013-01,7.529,
2013-04,8.066,
2013-07,7.978,
2013-10,7.980,
2014-01,8.134,
2014-04,8.194,
2014-07,8.169,
