"",BBK01.OEXL06U,BBK01.OEXL06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:24,
2002-01,0.043,
2002-04,0.042,
2002-07,0.033,
2002-10,0.034,
2003-01,0.036,
2003-04,0.033,
2003-07,0.030,
2003-10,0.029,
2004-01,0.032,
2004-04,0.027,
2004-07,0.027,
2004-10,0.028,
2005-01,0.034,
2005-04,0.035,
2005-07,0.034,
2005-10,0.032,
2006-01,0.036,
2006-04,0.038,
2006-07,0.044,
2006-10,0.048,
2007-01,0.054,
2007-04,0.056,
2007-07,0.059,
2007-10,0.068,
2008-01,0.078,
2008-04,0.091,
2008-07,0.095,
2008-10,0.105,
2009-01,0.113,
2009-04,0.098,
2009-07,0.090,
2009-10,0.084,
2010-01,0.089,
2010-04,0.111,
2010-07,0.124,
2010-10,0.134,
2011-01,0.145,
2011-04,0.163,
2011-07,0.175,
2011-10,0.174,
2012-01,0.171,
2012-04,0.177,
2012-07,0.174,
2012-10,0.168,
2013-01,0.146,
2013-04,0.125,
2013-07,0.121,
2013-10,0.118,
2014-01,0.116,
2014-04,0.109,
2014-07,0.099,
