"",BBK01.OEXK02S,BBK01.OEXK02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:08,
2002-01,0.092,
2002-04,0.084,
2002-07,0.087,
2002-10,0.100,
2003-01,0.094,
2003-04,0.096,
2003-07,0.109,
2003-10,0.126,
2004-01,0.120,
2004-04,0.122,
2004-07,0.135,
2004-10,0.135,
2005-01,0.122,
2005-04,0.123,
2005-07,0.133,
2005-10,0.146,
2006-01,0.207,
2006-04,0.147,
2006-07,0.148,
2006-10,0.155,
2007-01,0.143,
2007-04,0.144,
2007-07,0.162,
2007-10,0.161,
2008-01,0.134,
2008-04,0.134,
2008-07,0.137,
2008-10,0.155,
2009-01,0.143,
2009-04,0.158,
2009-07,0.189,
2009-10,0.186,
2010-01,0.176,
2010-04,0.219,
2010-07,0.246,
2010-10,0.254,
2011-01,0.247,
2011-04,0.264,
2011-07,0.272,
2011-10,0.290,
2012-01,0.281,
2012-04,0.289,
2012-07,0.296,
2012-10,0.305,
2013-01,0.304,
2013-04,0.310,
2013-07,0.328,
2013-10,0.344,
2014-01,0.338,
2014-04,0.350,
2014-07,0.366,
