"",BBFN1.M.DE.N.1.A.R12.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:55,
1994-11,.,No value available
1994-12,5.150,
1995-01,4.817,
1995-02,4.948,
1995-03,5.237,
1995-04,5.062,
1995-05,5.762,
1995-06,5.574,
1995-07,6.404,
1995-08,6.070,
1995-09,6.176,
1995-10,6.017,
1995-11,5.316,
1995-12,5.053,
1996-01,5.133,
1996-02,4.970,
1996-03,4.700,
1996-04,5.348,
1996-05,5.085,
1996-06,5.319,
1996-07,5.268,
1996-08,5.192,
1996-09,5.294,
1996-10,5.312,
1996-11,5.929,
1996-12,5.584,
1997-01,5.571,
1997-02,5.321,
1997-03,5.506,
1997-04,6.241,
1997-05,6.296,
1997-06,5.921,
1997-07,5.733,
1997-08,5.439,
1997-09,5.703,
1997-10,5.338,
1997-11,5.145,
1997-12,5.542,
1998-01,5.580,
1998-02,5.757,
1998-03,5.566,
1998-04,5.288,
1998-05,5.629,
1998-06,5.580,
1998-07,5.192,
1998-08,4.597,
1998-09,4.716,
1998-10,4.816,
1998-11,4.906,
1998-12,4.827,
1999-01,4.602,
1999-02,4.530,
1999-03,5.001,
1999-04,5.683,
1999-05,5.589,
1999-06,6.026,
1999-07,6.021,
1999-08,5.841,
1999-09,6.238,
1999-10,6.141,
1999-11,6.359,
1999-12,6.059,
2000-01,6.491,
2000-02,6.253,
2000-03,8.031,
2000-04,8.783,
2000-05,10.471,
2000-06,10.415,
2000-07,10.746,
2000-08,11.990,
2000-09,12.409,
2000-10,12.981,
2000-11,12.244,
2000-12,11.251,
2001-01,11.669,
2001-02,12.398,
2001-03,13.440,
2001-04,13.874,
2001-05,14.304,
2001-06,13.335,
2001-07,12.543,
2001-08,12.541,
2001-09,12.713,
2001-10,12.501,
2001-11,8.091,
2001-12,9.600,
2002-01,8.523,
2002-02,7.013,
2002-03,6.872,
2002-04,8.234,
2002-05,6.810,
2002-06,6.723,
2002-07,6.196,
2002-08,6.080,
2002-09,6.855,
2002-10,6.585,
2002-11,6.758,
2002-12,6.468,
2003-01,6.652,
2003-02,7.350,
2003-03,7.764,
2003-04,6.874,
2003-05,6.959,
2003-06,7.006,
2003-07,7.194,
2003-08,6.813,
2003-09,7.230,
2003-10,7.687,
2003-11,7.789,
2003-12,6.737,
2004-01,7.209,
2004-02,8.839,
2004-03,8.757,
2004-04,8.637,
2004-05,8.791,
2004-06,8.604,
2004-07,9.046,
2004-08,6.868,
2004-09,6.727,
2004-10,7.292,
2004-11,6.892,
2004-12,7.123,
2005-01,6.972,
2005-02,6.958,
2005-03,6.792,
2005-04,6.959,
2005-05,6.900,
2005-06,7.125,
2005-07,7.104,
2005-08,7.403,
2005-09,7.346,
2005-10,7.816,
2005-11,8.126,
2005-12,7.460,
2006-01,7.507,
2006-02,8.144,
2006-03,7.424,
2006-04,7.576,
2006-05,7.703,
2006-06,8.112,
2006-07,7.598,
2006-08,7.566,
2006-09,8.174,
2006-10,7.861,
2006-11,8.110,
2006-12,7.649,
2007-01,7.874,
2007-02,7.924,
2007-03,7.428,
2007-04,6.590,
2007-05,6.913,
2007-06,7.401,
2007-07,6.798,
2007-08,6.307,
2007-09,6.481,
2007-10,6.603,
2007-11,6.466,
2007-12,6.364,
2008-01,6.363,
2008-02,6.480,
2008-03,6.533,
2008-04,7.223,
2008-05,7.306,
2008-06,7.206,
2008-07,7.451,
2008-08,7.594,
2008-09,9.114,
2008-10,9.214,
2008-11,8.757,
2008-12,8.757,
2009-01,8.429,
2009-02,8.427,
2009-03,8.270,
2009-04,8.471,
2009-05,8.440,
2009-06,8.647,
2009-07,8.402,
2009-08,8.501,
2009-09,9.662,
2009-10,9.491,
2009-11,9.513,
2009-12,8.654,
2010-01,9.313,
2010-02,9.266,
2010-03,9.232,
2010-04,9.609,
2010-05,10.130,
2010-06,10.238,
2010-07,10.560,
2010-08,10.643,
2010-09,10.039,
2010-10,10.519,
2010-11,10.639,
2010-12,11.329,
2011-01,11.295,
2011-02,11.081,
2011-03,11.137,
2011-04,11.227,
2011-05,11.489,
2011-06,11.302,
2011-07,11.358,
2011-08,11.256,
2011-09,11.481,
2011-10,11.482,
2011-11,11.939,
2011-12,11.830,
2012-01,11.886,
2012-02,11.800,
2012-03,12.203,
2012-04,12.720,
2012-05,13.117,
2012-06,13.802,
2012-07,14.229,
2012-08,13.731,
2012-09,14.045,
2012-10,13.811,
2012-11,14.305,
2012-12,11.781,
2013-01,10.971,
2013-02,10.748,
2013-03,11.483,
2013-04,11.127,
2013-05,11.302,
2013-06,11.704,
2013-07,11.115,
2013-08,11.484,
2013-09,11.954,
2013-10,12.205,
2013-11,12.975,
2013-12,11.684,
2014-01,11.432,
2014-02,11.116,
2014-03,12.242,
2014-04,12.291,
2014-05,12.269,
2014-06,13.154,
2014-07,13.506,
2014-08,13.605,
2014-09,13.554,
2014-10,13.874,
2014-11,13.431,
2014-12,13.693,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Saba; Curacao; St.Martin (Dutch part)",
