"",BBK01.OELB17T,BBK01.OELB17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:35,
2002-01,1.114,
2002-04,1.132,
2002-07,1.153,
2002-10,1.163,
2003-01,1.153,
2003-04,1.162,
2003-07,1.170,
2003-10,1.182,
2004-01,1.186,
2004-04,1.172,
2004-07,1.181,
2004-10,1.246,
2005-01,1.223,
2005-04,1.225,
2005-07,1.235,
2005-10,1.241,
2006-01,1.223,
2006-04,1.225,
2006-07,1.246,
2006-10,1.219,
2007-01,1.208,
2007-04,1.202,
2007-07,1.194,
2007-10,1.193,
2008-01,1.188,
2008-04,1.192,
2008-07,1.192,
2008-10,1.200,
2009-01,1.190,
2009-04,1.206,
2009-07,1.217,
2009-10,1.226,
2010-01,1.217,
2010-04,1.227,
2010-07,1.233,
2010-10,1.229,
2011-01,1.235,
2011-04,1.236,
2011-07,1.279,
2011-10,1.279,
2012-01,1.282,
2012-04,1.317,
2012-07,1.322,
2012-10,1.330,
2013-01,1.306,
2013-04,1.308,
2013-07,1.323,
2013-10,1.319,
2014-01,1.313,
2014-04,1.332,
2014-07,1.338,
