"",BBK01.OEHM07G,BBK01.OEHM07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:02,
2002-01,0.168,
2002-04,0.184,
2002-07,0.174,
2002-10,0.201,
2003-01,0.188,
2003-04,0.188,
2003-07,0.179,
2003-10,0.193,
2004-01,0.187,
2004-04,0.179,
2004-07,0.196,
2004-10,0.181,
2005-01,0.222,
2005-04,0.233,
2005-07,0.236,
2005-10,0.237,
2006-01,0.221,
2006-04,0.220,
2006-07,0.215,
2006-10,0.204,
2007-01,0.193,
2007-04,0.189,
2007-07,0.180,
2007-10,0.168,
2008-01,0.155,
2008-04,0.151,
2008-07,0.154,
2008-10,0.132,
2009-01,0.234,
2009-04,0.280,
2009-07,0.340,
2009-10,0.389,
2010-01,0.398,
2010-04,0.404,
2010-07,0.437,
2010-10,0.430,
2011-01,0.407,
2011-04,0.392,
2011-07,0.370,
2011-10,0.376,
2012-01,0.372,
2012-04,0.451,
2012-07,0.520,
2012-10,0.512,
2013-01,0.552,
2013-04,0.569,
2013-07,0.632,
2013-10,0.603,
2014-01,0.600,
2014-04,0.631,
2014-07,0.628,
