"",BBAI3.Q.DE.N.V.LE.F21.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F21.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Currency / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:41,
2005-10,176,
2006-01,177,
2006-04,178,
2006-07,180,
2006-10,182,
2007-01,177,
2007-04,174,
2007-07,171,
2007-10,168,
2008-01,164,
2008-04,160,
2008-07,156,
2008-10,153,
2009-01,102,
2009-04,68,
2009-07,46,
2009-10,36,
2010-01,32,
2010-04,30,
2010-07,28,
2010-10,137,
2011-01,158,
2011-04,184,
2011-07,216,
2011-10,255,
2012-01,261,
2012-04,258,
2012-07,259,
2012-10,261,
2013-01,261,
2013-04,260,
2013-07,260,
2013-10,263,
2014-01,444,
2014-04,445,
2014-07,445,
