"",BBFI1.Q.N.DE.W1.S12T.S1.LE.N.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.N.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Net (Assets minus Liabilities) - Positions - Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:38,
1999-10,234613,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,285628,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,346407,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,331944,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,344258,
2004-01,369680,
2004-04,363244,
2004-07,374872,
2004-10,361884,
2005-01,371543,
2005-04,384578,
2005-07,390928,
2005-10,387430,
2006-01,402302,
2006-04,414306,
2006-07,426267,
2006-10,420422,
2007-01,447577,
2007-04,469880,
2007-07,487547,
2007-10,492459,
2008-01,527114,
2008-04,525857,
2008-07,569340,
2008-10,528533,
2009-01,514123,
2009-04,513192,
2009-07,482031,
2009-10,469376,
2010-01,478442,
2010-04,506150,
2010-07,474406,
2010-10,461165,
2011-01,445473,
2011-04,453996,
2011-07,472058,
2011-10,455614,
2012-01,463614,
2012-04,461236,
2012-07,462133,
2012-10,442010,
2013-01,450518,
2013-04,433190,
2013-07,414938,
2013-10,404753,
2014-01,413786,
2014-04,422553,
2014-07,429698,
