"",BBDE1.M.DE.Y.AEA1.P2XF04000.B2.V.I10.A,BBDE1.M.DE.Y.AEA1.P2XF04000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Civil engineering work / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:15,
1991-01,91.5,
1991-02,98.3,
1991-03,106.5,
1991-04,100.7,
1991-05,100.9,
1991-06,109.6,
1991-07,108.0,
1991-08,111.1,
1991-09,118.4,
1991-10,109.7,
1991-11,111.4,
1991-12,109.4,
1992-01,118.9,
1992-02,114.6,
1992-03,129.0,
1992-04,122.0,
1992-05,122.8,
1992-06,115.6,
1992-07,113.8,
1992-08,113.5,
1992-09,118.6,
1992-10,121.2,
1992-11,114.7,
1992-12,127.1,
1993-01,136.3,
1993-02,121.4,
1993-03,129.3,
1993-04,123.2,
1993-05,117.2,
1993-06,119.9,
1993-07,121.1,
1993-08,122.4,
1993-09,114.7,
1993-10,124.9,
1993-11,126.0,
1993-12,123.8,
1994-01,139.1,
1994-02,126.7,
1994-03,120.4,
1994-04,125.8,
1994-05,126.3,
1994-06,124.0,
1994-07,122.1,
1994-08,128.4,
1994-09,124.0,
1994-10,129.6,
1994-11,134.8,
1994-12,130.6,
1995-01,127.0,
1995-02,131.0,
1995-03,123.9,
1995-04,119.6,
1995-05,119.1,
1995-06,118.9,
1995-07,124.0,
1995-08,120.7,
1995-09,130.7,
1995-10,121.0,
1995-11,149.1,
1995-12,113.9,
1996-01,131.0,
1996-02,107.9,
1996-03,103.1,
1996-04,106.7,
1996-05,111.5,
1996-06,112.0,
1996-07,111.2,
1996-08,115.2,
1996-09,112.7,
1996-10,115.7,
1996-11,111.8,
1996-12,108.6,
1997-01,104.3,
1997-02,126.3,
1997-03,107.3,
1997-04,109.4,
1997-05,107.3,
1997-06,113.2,
1997-07,108.0,
1997-08,109.4,
1997-09,106.5,
1997-10,107.8,
1997-11,107.7,
1997-12,105.3,
1998-01,108.6,
1998-02,107.7,
1998-03,114.2,
1998-04,114.9,
1998-05,110.6,
1998-06,115.2,
1998-07,121.0,
1998-08,110.7,
1998-09,127.4,
1998-10,118.3,
1998-11,117.2,
1998-12,106.7,
1999-01,122.0,
1999-02,116.5,
1999-03,107.6,
1999-04,112.6,
1999-05,114.6,
1999-06,107.0,
1999-07,117.2,
1999-08,112.1,
1999-09,109.0,
1999-10,107.4,
1999-11,100.2,
1999-12,113.5,
2000-01,109.5,
2000-02,111.2,
2000-03,110.0,
2000-04,108.5,
2000-05,103.3,
2000-06,100.4,
2000-07,102.2,
2000-08,99.7,
2000-09,97.5,
2000-10,104.0,
2000-11,101.7,
2000-12,107.9,
2001-01,93.6,
2001-02,110.6,
2001-03,101.5,
2001-04,102.8,
2001-05,109.0,
2001-06,107.0,
2001-07,97.5,
2001-08,103.8,
2001-09,96.8,
2001-10,100.3,
2001-11,104.6,
2001-12,99.5,
2002-01,106.9,
2002-02,110.2,
2002-03,108.7,
2002-04,108.6,
2002-05,101.2,
2002-06,102.2,
2002-07,98.8,
2002-08,99.4,
2002-09,104.7,
2002-10,105.9,
2002-11,105.7,
2002-12,96.2,
2003-01,99.3,
2003-02,99.3,
2003-03,98.5,
2003-04,94.3,
2003-05,95.0,
2003-06,97.8,
2003-07,99.6,
2003-08,92.3,
2003-09,93.3,
2003-10,94.9,
2003-11,93.6,
2003-12,92.0,
2004-01,87.1,
2004-02,87.9,
2004-03,92.3,
2004-04,90.5,
2004-05,87.4,
2004-06,89.9,
2004-07,83.6,
2004-08,88.5,
2004-09,90.5,
2004-10,89.9,
2004-11,87.6,
2004-12,89.7,
2005-01,82.6,
2005-02,77.3,
2005-03,80.1,
2005-04,83.2,
2005-05,89.3,
2005-06,87.4,
2005-07,92.2,
2005-08,107.5,
2005-09,90.6,
2005-10,91.9,
2005-11,92.0,
2005-12,96.2,
2006-01,87.1,
2006-02,85.7,
2006-03,87.3,
2006-04,90.9,
2006-05,96.6,
2006-06,96.4,
2006-07,94.1,
2006-08,96.3,
2006-09,95.0,
2006-10,89.7,
2006-11,99.5,
2006-12,91.7,
2007-01,105.6,
2007-02,99.3,
2007-03,98.3,
2007-04,100.8,
2007-05,98.3,
2007-06,96.7,
2007-07,94.7,
2007-08,98.4,
2007-09,104.0,
2007-10,124.9,
2007-11,123.4,
2007-12,106.2,
2008-01,116.7,
2008-02,99.4,
2008-03,103.9,
2008-04,92.7,
2008-05,102.4,
2008-06,97.6,
2008-07,111.5,
2008-08,98.4,
2008-09,97.2,
2008-10,98.6,
2008-11,95.3,
2008-12,94.7,
2009-01,104.7,
2009-02,93.3,
