"",BBK01.OEYB23S,BBK01.OEYB23S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:37,
2002-01,0.098,
2002-04,0.097,
2002-07,0.104,
2002-10,0.137,
2003-01,0.111,
2003-04,0.073,
2003-07,0.073,
2003-10,0.083,
2004-01,0.063,
2004-04,0.050,
2004-07,0.052,
2004-10,0.030,
2005-01,0.020,
2005-04,0.035,
2005-07,0.042,
2005-10,0.037,
2006-01,0.016,
2006-04,0.016,
2006-07,0.016,
2006-10,0.013,
2007-01,0.047,
2007-04,0.084,
2007-07,0.119,
2007-10,0.153,
2008-01,0.189,
2008-04,0.223,
2008-07,0.258,
2008-10,0.297,
2009-01,0.264,
2009-04,0.414,
2009-07,0.413,
2009-10,0.510,
2010-01,0.509,
2010-04,0.556,
2010-07,0.557,
2010-10,0.561,
2011-01,0.652,
2011-04,0.851,
2011-07,1.007,
2011-10,1.136,
2012-01,1.135,
2012-04,1.053,
2012-07,1.013,
2012-10,0.978,
2013-01,0.951,
2013-04,0.917,
2013-07,0.882,
2013-10,0.800,
2014-01,0.783,
2014-04,0.631,
2014-07,0.631,
