"",BBK01.OEAC39P,BBK01.OEAC39P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:54,
2002-01,0.382,
2002-04,0.374,
2002-07,0.371,
2002-10,0.353,
2003-01,0.334,
2003-04,0.355,
2003-07,0.354,
2003-10,0.370,
2004-01,0.364,
2004-04,0.394,
2004-07,0.399,
2004-10,0.401,
2005-01,0.407,
2005-04,0.396,
2005-07,0.376,
2005-10,0.360,
2006-01,0.395,
2006-04,0.402,
2006-07,0.407,
2006-10,0.427,
2007-01,0.424,
2007-04,0.402,
2007-07,0.407,
2007-10,0.430,
2008-01,0.440,
2008-04,0.453,
2008-07,0.479,
2008-10,0.487,
2009-01,0.430,
2009-04,0.444,
2009-07,0.469,
2009-10,0.396,
2010-01,0.431,
2010-04,0.350,
2010-07,0.366,
2010-10,0.395,
2011-01,0.374,
2011-04,0.405,
2011-07,0.458,
2011-10,0.454,
2012-01,0.455,
2012-04,0.570,
2012-07,0.563,
2012-10,0.612,
2013-01,0.586,
2013-04,0.581,
2013-07,0.641,
2013-10,0.669,
2014-01,0.630,
2014-04,0.619,
2014-07,0.625,
