"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:13,
1991-01,54.913,
1991-04,48.172,
1991-07,49.391,
1991-10,64.759,
1992-01,149.192,
1992-04,109.809,
1992-07,-67.495,
1992-10,-78.498,
1993-01,43.565,
1993-04,34.381,
1993-07,163.598,
1993-10,-16.904,
1994-01,98.663,
1994-04,213.016,
1994-07,386.018,
1994-10,-107.003,
1995-01,205.583,
1995-04,437.646,
1995-07,383.054,
1995-10,592.974,
1996-01,676.094,
1996-04,350.702,
1996-07,148.426,
1996-10,464.813,
1997-01,74.739,
1997-04,622.332,
1997-07,542.764,
1997-10,653.135,
1998-01,218.281,
1998-04,370.038,
1998-07,495.752,
1998-10,-393.668,
1999-01,-98.660,
1999-04,888.281,
1999-07,431.128,
1999-10,-283.222,
2000-01,177.667,
2000-04,672.262,
2000-07,151.994,
2000-10,311.993,
2001-01,237.258,
2001-04,703.906,
2001-07,30.347,
2001-10,-124.187,
2002-01,128.014,
2002-04,169.322,
2002-07,-0.508,
2002-10,495.489,
2003-01,92.799,
2003-04,329.852,
2003-07,310.030,
2003-10,652.992,
2004-01,-272.580,
2004-04,1230.308,
2004-07,-189.198,
2004-10,1311.639,
2005-01,2.022,
2005-04,1131.053,
2005-07,544.556,
2005-10,829.223,
2006-01,1053.327,
2006-04,2104.906,
2006-07,329.204,
2006-10,522.634,
2007-01,383.265,
2007-04,577.221,
2007-07,1191.917,
2007-10,222.253,
2008-01,2122.969,
2008-04,1718.739,
2008-07,760.370,
2008-10,-736.330,
2009-01,15.765,
2009-04,2045.785,
2009-07,1590.812,
2009-10,1112.545,
2010-01,2637.806,
2010-04,2169.683,
2010-07,4960.949,
2010-10,-79.831,
2011-01,3634.975,
2011-04,2562.290,
2011-07,2341.275,
2011-10,1455.540,
2012-01,3492.570,
2012-04,4406.136,
2012-07,905.388,
2012-10,-3512.912,
2013-01,5521.841,
2013-04,1776.240,
2013-07,1952.908,
2013-10,6042.797,
2014-01,3810.978,Provisional value
2014-04,4263.346,Provisional value
2014-07,1984.736,Provisional value
2014-10,1076.818,Provisional value
