"",BBK01.OEAL04N,BBK01.OEAL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:16,
2002-01,29.045,
2002-04,28.327,
2002-07,28.144,
2002-10,27.745,
2003-01,27.203,
2003-04,26.397,
2003-07,24.705,
2003-10,23.552,
2004-01,22.555,
2004-04,21.552,
2004-07,20.866,
2004-10,18.201,
2005-01,18.753,
2005-04,19.029,
2005-07,19.006,
2005-10,19.392,
2006-01,19.659,
2006-04,19.549,
2006-07,20.588,
2006-10,21.660,
2007-01,23.000,
2007-04,24.286,
2007-07,27.010,
2007-10,29.869,
2008-01,32.761,
2008-04,35.433,
2008-07,39.207,
2008-10,42.999,
2009-01,36.014,
2009-04,30.264,
2009-07,24.155,
2009-10,19.529,
2010-01,17.529,
2010-04,16.380,
2010-07,15.094,
2010-10,14.880,
2011-01,15.168,
2011-04,16.158,
2011-07,18.820,
2011-10,17.812,
2012-01,18.941,
2012-04,17.930,
2012-07,16.781,
2012-10,15.408,
2013-01,14.308,
2013-04,13.586,
2013-07,13.218,
2013-10,13.044,
2014-01,13.061,
2014-04,13.152,
2014-07,12.921,
