"",BBK01.OEHB14H,BBK01.OEHB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:15,
2002-01,3.457,
2002-04,3.442,
2002-07,3.404,
2002-10,3.403,
2003-01,3.274,
2003-04,3.226,
2003-07,3.124,
2003-10,3.064,
2004-01,2.957,
2004-04,2.917,
2004-07,2.840,
2004-10,2.781,
2005-01,2.762,
2005-04,2.679,
2005-07,2.578,
2005-10,2.488,
2006-01,2.505,
2006-04,2.484,
2006-07,2.463,
2006-10,2.433,
2007-01,2.404,
2007-04,2.400,
2007-07,2.384,
2007-10,2.452,
2008-01,2.427,
2008-04,2.358,
2008-07,2.325,
2008-10,2.361,
2009-01,2.416,
2009-04,2.399,
2009-07,2.356,
2009-10,2.301,
2010-01,2.326,
2010-04,2.321,
2010-07,2.251,
2010-10,2.122,
2011-01,2.154,
2011-04,2.158,
2011-07,2.069,
2011-10,1.992,
2012-01,1.978,
2012-04,1.947,
2012-07,1.911,
2012-10,1.930,
2013-01,1.947,
2013-04,1.875,
2013-07,1.819,
2013-10,1.791,
2014-01,1.786,
2014-04,1.781,
2014-07,1.717,
