"",BBEX3.A.MWK.USD.CA.AB.A04,BBEX3.A.MWK.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Malawi  / USD 1 = MWK ... (selling),
unit,MWK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:24,
1993,4.4259,
1994,9.3492,comment
1995,15.3594,
1996,15.3853,
1997,16.8050,
1998,32.2710,comment
1999,44.4375,
2000,61.0525,
2001,72.0792,
2002,77.6221,
2003,98.9408,
2004,109.4519,
2005,119.6332,
2006,137.5029,
2007,140.7734,
2008,141.2398,
2009,142.0027,
2010,151.2371,
2011,158.0740,
2012,256.0263,comment
2013,383.0877,
2014,440.0889,
"","Source: Reserve Bank of Malawi, Lilongwe",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1994: On 7 February 1994, the exchange rates were allowed to float freely.",
"","Comment on 1998: On 21 and 24 August 1998, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate):  20 August 1998: USD 1 = MWK 26.6665 / 26.9345  21 August 1998: USD 1 = MWK 33.8300 / 34.1700  24 August 1998: USD 1 = MWK 41.7900 / 42.2100 Calculated using the exchange rates from 20 and 24 August 1998 the Malawi kwacha was devalued by 36.2%.",
"","Comment on 2012: On 7 May 2012, the Malawi kwacha was devalued. We recorded the following exchange rates (buying/selling rate):  4 May 2012: USD 1 = MWK 164.5375 / 167.8615  7 May 2012: USD 1 = MWK 247.50 / 252.50 Calculated devaluation: 33.5%.",
