"",BBFB1.M.N.DE.W1.S1.S1N.T.C.G3._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1N.T.C.G3._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Non-monetary gold / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:05,
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,93.176,
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,93.154,
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,73.095,
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,186.376,
1994-01,32.435,
1994-02,27.272,
1994-03,35.712,
1994-04,34.262,
1994-05,34.125,
1994-06,48.603,
1994-07,62.600,
1994-08,150.823,
1994-09,53.941,
1994-10,36.803,
1994-11,46.444,
1994-12,78.986,
1995-01,28.467,
1995-02,48.855,
1995-03,70.012,
1995-04,38.347,
1995-05,51.436,
1995-06,33.723,
1995-07,55.129,
1995-08,58.482,
1995-09,40.080,
1995-10,77.120,
1995-11,41.932,
1995-12,63.198,
1996-01,45.654,
1996-02,44.694,
1996-03,59.035,
1996-04,47.809,
1996-05,80.226,
1996-06,38.338,
1996-07,65.270,
1996-08,57.746,
1996-09,50.970,
1996-10,83.540,
1996-11,38.121,
1996-12,75.271,
1997-01,53.263,
1997-02,39.900,
1997-03,41.481,
1997-04,35.163,
1997-05,31.771,
1997-06,46.579,
1997-07,66.754,
1997-08,50.573,
1997-09,31.912,
1997-10,55.962,
1997-11,33.195,
1997-12,24.575,
1998-01,42.241,
1998-02,47.135,
1998-03,22.493,
1998-04,40.576,
1998-05,44.252,
1998-06,33.326,
1998-07,29.028,
1998-08,33.272,
1998-09,37.266,
1998-10,31.347,
1998-11,46.938,
1998-12,34.555,
1999-01,23.349,
1999-02,28.131,
1999-03,26.643,
1999-04,42.188,
1999-05,31.511,
1999-06,53.631,
1999-07,47.868,
1999-08,45.590,
1999-09,26.915,
1999-10,73.488,
1999-11,26.520,
1999-12,49.206,
2000-01,43.724,
2000-02,29.999,
2000-03,42.685,
2000-04,39.679,
2000-05,40.663,
2000-06,53.899,
2000-07,28.850,
2000-08,71.758,
2000-09,46.204,
2000-10,159.307,
2000-11,37.247,
2000-12,50.768,
2001-01,46.796,
2001-02,66.453,
2001-03,41.617,
2001-04,33.072,
2001-05,55.147,
2001-06,43.989,
2001-07,62.556,
2001-08,71.182,
2001-09,24.944,
2001-10,63.271,
2001-11,44.574,
2001-12,45.492,
2002-01,62.029,
2002-02,40.340,
2002-03,103.842,
2002-04,36.512,
2002-05,49.613,
2002-06,58.121,
2002-07,44.582,
2002-08,40.264,
2002-09,47.332,
2002-10,73.587,
2002-11,66.839,
2002-12,43.041,
2003-01,93.031,
2003-02,32.268,
2003-03,35.717,
2003-04,30.902,
2003-05,32.621,
2003-06,34.988,
2003-07,36.874,
2003-08,56.184,
2003-09,46.188,
2003-10,60.738,
2003-11,21.263,
2003-12,52.676,
2004-01,28.752,
2004-02,43.925,
2004-03,34.735,
2004-04,32.341,
2004-05,32.486,
2004-06,28.083,
2004-07,35.596,
2004-08,20.598,
2004-09,40.283,
2004-10,22.801,
2004-11,40.369,
2004-12,46.611,
2005-01,41.646,
2005-02,25.203,
2005-03,36.097,
2005-04,12.244,
2005-05,10.668,
2005-06,17.062,
2005-07,15.096,
2005-08,42.326,
2005-09,90.018,
2005-10,68.358,
2005-11,43.562,
2005-12,53.717,
2006-01,57.489,
2006-02,69.955,
2006-03,75.004,
2006-04,95.514,
2006-05,65.611,
2006-06,90.697,
2006-07,95.214,
2006-08,60.062,
2006-09,62.912,
2006-10,74.459,
2006-11,93.376,
2006-12,88.723,
2007-01,74.715,
2007-02,98.754,
2007-03,62.262,
2007-04,68.293,
2007-05,88.056,
2007-06,101.577,
2007-07,82.192,
2007-08,343.523,
2007-09,78.330,
2007-10,106.390,
2007-11,121.387,
2007-12,77.800,
2008-01,166.027,
2008-02,170.005,
2008-03,159.310,
2008-04,192.967,
2008-05,119.681,
2008-06,153.253,
2008-07,162.348,
2008-08,138.038,
2008-09,182.588,
2008-10,167.992,
2008-11,257.064,
2008-12,160.032,
2009-01,88.382,
2009-02,139.677,
2009-03,202.082,
2009-04,125.599,
2009-05,322.159,
2009-06,231.628,
2009-07,210.332,
2009-08,173.637,
2009-09,243.900,
2009-10,204.377,
2009-11,115.562,
2009-12,232.118,
2010-01,254.572,
2010-02,461.821,
2010-03,480.226,
2010-04,480.226,
2010-05,504.575,
2010-06,628.163,
2010-07,521.695,
2010-08,523.304,
2010-09,530.389,
2010-10,625.588,
2010-11,763.877,
2010-12,740.334,
2011-01,454.574,
2011-02,364.350,
2011-03,617.665,
2011-04,417.026,
2011-05,623.940,
2011-06,375.145,
2011-07,556.466,
2011-08,810.752,
2011-09,965.156,
2011-10,723.353,
2011-11,775.478,
2011-12,769.707,
2012-01,619.459,
2012-02,529.344,
2012-03,692.130,
2012-04,659.518,
2012-05,666.793,
2012-06,792.190,
2012-07,560.776,
2012-08,634.091,
2012-09,632.685,
2012-10,712.137,
2012-11,680.181,
2012-12,626.025,
2013-01,971.601,
2013-02,798.873,
2013-03,1019.304,
2013-04,819.725,
2013-05,616.039,
2013-06,584.647,
2013-07,715.719,
2013-08,703.559,
2013-09,651.924,
2013-10,613.262,
2013-11,619.243,
2013-12,889.342,
2014-01,707.631,
2014-02,737.356,
2014-03,491.506,
2014-04,578.534,
2014-05,806.663,
2014-06,781.687,
2014-07,728.578,
2014-08,869.255,
2014-09,698.466,
2014-10,898.739,
2014-11,656.050,
2014-12,956.232,Provisional value
