"",BBK01.OELI01S,BBK01.OELI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:30,
2002-01,4.037,
2002-04,3.976,
2002-07,4.061,
2002-10,4.298,
2003-01,4.279,
2003-04,4.256,
2003-07,4.268,
2003-10,4.417,
2004-01,4.362,
2004-04,4.355,
2004-07,4.358,
2004-10,4.451,
2005-01,4.256,
2005-04,4.192,
2005-07,4.213,
2005-10,4.386,
2006-01,4.236,
2006-04,4.183,
2006-07,4.180,
2006-10,4.416,
2007-01,4.314,
2007-04,4.270,
2007-07,4.259,
2007-10,4.451,
2008-01,4.384,
2008-04,4.355,
2008-07,4.426,
2008-10,4.731,
2009-01,4.717,
2009-04,4.661,
2009-07,4.824,
2009-10,5.011,
2010-01,5.011,
2010-04,5.008,
2010-07,5.114,
2010-10,5.358,
2011-01,5.262,
2011-04,5.233,
2011-07,5.300,
2011-10,6.038,
2012-01,5.771,
2012-04,5.785,
2012-07,5.966,
2012-10,6.122,
2013-01,6.049,
2013-04,6.057,
2013-07,6.190,
2013-10,6.345,
2014-01,6.285,
2014-04,6.277,
2014-07,6.421,
