"",BBK01.OEAH62T,BBK01.OEAH62T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:59,
2002-01,0.013,
2002-04,0.023,
2002-07,0.020,
2002-10,0.022,
2003-01,0.016,
2003-04,0.018,
2003-07,0.019,
2003-10,0.019,
2004-01,0.017,
2004-04,0.013,
2004-07,0.012,
2004-10,0.010,
2005-01,0.030,
2005-04,0.030,
2005-07,0.031,
2005-10,0.030,
2006-01,0.036,
2006-04,0.038,
2006-07,0.043,
2006-10,0.048,
2007-01,0.056,
2007-04,0.062,
2007-07,0.073,
2007-10,0.097,
2008-01,0.104,
2008-04,0.098,
2008-07,0.109,
2008-10,0.112,
2009-01,0.128,
2009-04,0.107,
2009-07,0.098,
2009-10,0.085,
2010-01,0.074,
2010-04,0.071,
2010-07,0.067,
2010-10,0.067,
2011-01,0.065,
2011-04,0.070,
2011-07,0.065,
2011-10,0.089,
2012-01,0.097,
2012-04,0.091,
2012-07,0.086,
2012-10,0.077,
2013-01,0.059,
2013-04,0.057,
2013-07,0.066,
2013-10,0.061,
2014-01,0.061,
2014-04,0.057,
2014-07,0.057,
