"",BBK01.OEBI09P,BBK01.OEBI09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:09,
2002-01,0.097,
2002-04,0.087,
2002-07,0.091,
2002-10,0.088,
2003-01,0.080,
2003-04,0.076,
2003-07,0.071,
2003-10,0.069,
2004-01,0.067,
2004-04,0.063,
2004-07,0.057,
2004-10,0.059,
2005-01,0.070,
2005-04,0.069,
2005-07,0.070,
2005-10,0.072,
2006-01,0.066,
2006-04,0.066,
2006-07,0.054,
2006-10,0.057,
2007-01,0.091,
2007-04,0.111,
2007-07,0.127,
2007-10,0.157,
2008-01,0.172,
2008-04,0.172,
2008-07,0.179,
2008-10,0.268,
2009-01,0.262,
2009-04,0.252,
2009-07,0.247,
2009-10,0.186,
2010-01,0.141,
2010-04,0.145,
2010-07,0.137,
2010-10,0.168,
2011-01,0.201,
2011-04,0.212,
2011-07,0.218,
2011-10,0.207,
2012-01,0.184,
2012-04,0.178,
2012-07,0.161,
2012-10,0.132,
2013-01,0.101,
2013-04,0.082,
2013-07,0.074,
2013-10,0.067,
2014-01,0.062,
2014-04,0.059,
2014-07,0.108,
