"",BBK01.OECI02G,BBK01.OECI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:26,
2002-01,7.527,
2002-04,8.260,
2002-07,8.691,
2002-10,10.538,
2003-01,8.151,
2003-04,8.361,
2003-07,8.008,
2003-10,9.943,
2004-01,8.432,
2004-04,8.845,
2004-07,9.819,
2004-10,9.458,
2005-01,12.008,
2005-04,12.526,
2005-07,12.478,
2005-10,12.745,
2006-01,12.684,
2006-04,12.909,
2006-07,13.009,
2006-10,14.329,
2007-01,13.930,
2007-04,14.225,
2007-07,14.231,
2007-10,17.069,
2008-01,13.959,
2008-04,14.279,
2008-07,14.396,
2008-10,17.624,
2009-01,18.547,
2009-04,17.682,
2009-07,18.558,
2009-10,20.503,
2010-01,18.530,
2010-04,19.613,
2010-07,18.979,
2010-10,21.491,
2011-01,19.098,
2011-04,19.893,
2011-07,19.976,
2011-10,21.920,
2012-01,20.787,
2012-04,21.346,
2012-07,22.005,
2012-10,24.161,
2013-01,21.941,
2013-04,21.872,
2013-07,22.597,
2013-10,24.546,
2014-01,22.251,
2014-04,23.638,
2014-07,23.958,
