"",BBK01.OEXB11T,BBK01.OEXB11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:14,
2002-01,0.077,
2002-04,0.077,
2002-07,0.079,
2002-10,0.087,
2003-01,0.065,
2003-04,0.067,
2003-07,0.067,
2003-10,0.071,
2004-01,0.105,
2004-04,0.105,
2004-07,0.107,
2004-10,0.114,
2005-01,0.121,
2005-04,0.118,
2005-07,0.117,
2005-10,0.112,
2006-01,0.105,
2006-04,0.103,
2006-07,0.103,
2006-10,0.104,
2007-01,0.097,
2007-04,0.093,
2007-07,0.090,
2007-10,0.053,
2008-01,0.055,
2008-04,0.054,
2008-07,0.052,
2008-10,0.050,
2009-01,0.056,
2009-04,0.056,
2009-07,0.057,
2009-10,0.059,
2010-01,0.064,
2010-04,0.068,
2010-07,0.103,
2010-10,0.081,
2011-01,0.082,
2011-04,0.082,
2011-07,0.051,
2011-10,0.054,
2012-01,0.051,
2012-04,0.048,
2012-07,0.047,
2012-10,0.046,
2013-01,0.046,
2013-04,0.042,
2013-07,0.043,
2013-10,0.041,
2014-01,0.041,
2014-04,0.038,
2014-07,0.047,
