"",BBK01.OEAD06G,BBK01.OEAD06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:28,
2002-01,7.256,
2002-04,7.269,
2002-07,7.116,
2002-10,6.848,
2003-01,6.432,
2003-04,6.793,
2003-07,6.922,
2003-10,6.804,
2004-01,6.965,
2004-04,7.068,
2004-07,6.735,
2004-10,6.692,
2005-01,6.332,
2005-04,6.353,
2005-07,6.488,
2005-10,6.520,
2006-01,5.995,
2006-04,6.162,
2006-07,6.358,
2006-10,6.247,
2007-01,7.123,
2007-04,8.190,
2007-07,7.826,
2007-10,8.046,
2008-01,8.850,
2008-04,9.534,
2008-07,10.136,
2008-10,10.349,
2009-01,12.352,
2009-04,12.283,
2009-07,11.656,
2009-10,11.127,
2010-01,10.338,
2010-04,10.276,
2010-07,8.140,
2010-10,7.639,
2011-01,8.185,
2011-04,8.072,
2011-07,7.788,
2011-10,7.610,
2012-01,7.910,
2012-04,7.943,
2012-07,7.881,
2012-10,7.380,
2013-01,8.100,
2013-04,8.189,
2013-07,8.244,
2013-10,7.844,
2014-01,8.017,
2014-04,8.025,
2014-07,7.897,
