"",BBSF2.M.1.S.I0003.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0003.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Supplementary pension funds for government employees and churches / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:41,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,63,
2009-10,35,
2009-11,37,
2009-12,242,
2010-01,3,
2010-02,18,
2010-03,354,
2010-04,613,
2010-05,40,
2010-06,151,
2010-07,408,
2010-08,72,
2010-09,-469,
2010-10,-196,
2010-11,133,
2010-12,312,
2011-01,59,
2011-02,-501,
2011-03,-126,
2011-04,239,
2011-05,370,
2011-06,-51,
2011-07,-37,
2011-08,-218,
2011-09,-155,
2011-10,-33,
2011-11,36,
2011-12,1180,
2012-01,1375,
2012-02,17,
2012-03,434,
2012-04,559,
2012-05,299,
2012-06,39,
2012-07,36,
2012-08,293,
2012-09,352,
2012-10,314,
2012-11,551,
2012-12,2573,
2013-01,348,
2013-02,275,
2013-03,-78,
2013-04,298,
2013-05,40,
2013-06,18,
2013-07,212,
2013-08,117,
2013-09,202,
2013-10,221,
2013-11,237,
2013-12,423,
2014-01,386,
2014-02,570,
2014-03,-170,
2014-04,19,
2014-05,161,
2014-06,154,
2014-07,33,
2014-08,1427,
2014-09,218,
2014-10,176,
2014-11,1573,
