"",BBK01.OELM03V,BBK01.OELM03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:43,
2002-01,0.055,
2002-04,0.071,
2002-07,0.092,
2002-10,0.079,
2003-01,0.088,
2003-04,0.050,
2003-07,0.067,
2003-10,0.046,
2004-01,0.056,
2004-04,0.084,
2004-07,0.080,
2004-10,0.093,
2005-01,0.095,
2005-04,0.100,
2005-07,0.089,
2005-10,0.092,
2006-01,0.078,
2006-04,0.089,
2006-07,0.078,
2006-10,0.094,
2007-01,0.088,
2007-04,0.096,
2007-07,0.086,
2007-10,0.094,
2008-01,0.096,
2008-04,0.090,
2008-07,0.081,
2008-10,0.108,
2009-01,0.064,
2009-04,0.069,
2009-07,0.071,
2009-10,0.065,
2010-01,0.070,
2010-04,0.065,
2010-07,0.073,
2010-10,0.087,
2011-01,0.091,
2011-04,0.228,
2011-07,0.085,
2011-10,0.082,
2012-01,0.063,
2012-04,0.047,
2012-07,0.047,
2012-10,0.060,
2013-01,0.052,
2013-04,0.055,
2013-07,0.089,
2013-10,0.091,
2014-01,0.093,
2014-04,0.089,
2014-07,0.091,
