"",BBK01.OECB04N,BBK01.OECB04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:47,
2002-01,32.426,
2002-04,32.389,
2002-07,31.740,
2002-10,31.508,
2003-01,29.994,
2003-04,29.815,
2003-07,29.636,
2003-10,29.557,
2004-01,29.294,
2004-04,29.065,
2004-07,28.556,
2004-10,28.052,
2005-01,40.385,
2005-04,40.647,
2005-07,41.979,
2005-10,41.174,
2006-01,40.470,
2006-04,40.926,
2006-07,40.284,
2006-10,40.253,
2007-01,40.185,
2007-04,40.770,
2007-07,41.168,
2007-10,42.080,
2008-01,42.482,
2008-04,43.690,
2008-07,45.668,
2008-10,45.608,
2009-01,44.804,
2009-04,47.357,
2009-07,47.198,
2009-10,46.989,
2010-01,46.649,
2010-04,43.380,
2010-07,43.286,
2010-10,44.091,
2011-01,43.726,
2011-04,43.259,
2011-07,43.045,
2011-10,42.841,
2012-01,42.592,
2012-04,42.485,
2012-07,42.584,
2012-10,42.345,
2013-01,42.095,
2013-04,41.963,
2013-07,42.174,
2013-10,42.060,
2014-01,41.813,
2014-04,41.284,
2014-07,41.159,
