"",BBK01.OEAM05P,BBK01.OEAM05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:38,
2002-01,0.112,
2002-04,0.109,
2002-07,0.106,
2002-10,0.092,
2003-01,0.091,
2003-04,0.083,
2003-07,0.082,
2003-10,0.076,
2004-01,0.075,
2004-04,0.072,
2004-07,0.070,
2004-10,0.070,
2005-01,0.069,
2005-04,0.067,
2005-07,0.062,
2005-10,0.058,
2006-01,0.058,
2006-04,0.058,
2006-07,0.057,
2006-10,0.049,
2007-01,0.054,
2007-04,0.052,
2007-07,0.052,
2007-10,0.095,
2008-01,0.091,
2008-04,0.089,
2008-07,0.086,
2008-10,0.086,
2009-01,0.085,
2009-04,0.084,
2009-07,0.084,
2009-10,0.029,
2010-01,0.021,
2010-04,0.018,
2010-07,0.018,
2010-10,0.015,
2011-01,0.015,
2011-04,0.015,
2011-07,0.015,
2011-10,0.014,
2012-01,0.014,
2012-04,0.017,
2012-07,0.018,
2012-10,0.011,
2013-01,0.010,
2013-04,0.011,
2013-07,0.010,
2013-10,0.010,
2014-01,0.009,
2014-04,0.010,
2014-07,0.011,
