"",BBSF2.M.1.T.00000.DSO01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:05,
2009-09,8539,
2009-10,8990,
2009-11,10275,
2009-12,10615,
2010-01,10694,
2010-02,11180,
2010-03,11655,
2010-04,11679,
2010-05,11570,
2010-06,11521,
2010-07,11685,
2010-08,11765,
2010-09,11792,
2010-10,12031,
2010-11,12226,
2010-12,12322,
2011-01,12265,
2011-02,12382,
2011-03,12289,
2011-04,12496,
2011-05,12230,
2011-06,12093,
2011-07,12764,
2011-08,12034,
2011-09,11680,
2011-10,11826,
2011-11,11587,
2011-12,11774,
2012-01,12043,
2012-02,12257,
2012-03,12204,
2012-04,12290,
2012-05,12040,
2012-06,12174,
2012-07,12491,
2012-08,12458,
2012-09,12380,
2012-10,12325,
2012-11,12396,
2012-12,12393,
2013-01,12428,
2013-02,12559,
2013-03,12711,
2013-04,12781,
2013-05,12666,
2013-06,12063,
2013-07,12212,
2013-08,12060,
2013-09,12603,
2013-10,12908,
2013-11,12999,
2013-12,12896,
2014-01,13129,
2014-02,13028,
2014-03,13089,
2014-04,18546,
2014-05,18843,
2014-06,18932,
2014-07,19035,
2014-08,19148,
2014-09,19448,
2014-10,19523,
2014-11,20394,
