"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T.M.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Other equity / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:30,
1991-01,1610.492,
1991-04,1206.048,
1991-07,1682.843,
1991-10,3680.046,
1992-01,1408.973,
1992-04,1448.345,
1992-07,1934.431,
1992-10,3012.162,
1993-01,1264.935,
1993-04,1872.421,
1993-07,1958.586,
1993-10,3148.207,
1994-01,1677.604,
1994-04,1971.676,
1994-07,1491.344,
1994-10,3414.777,
1995-01,4326.066,
1995-04,3272.800,
1995-07,1337.894,
1995-10,4984.464,
1996-01,3180.961,
1996-04,2710.104,
1996-07,3278.289,
1996-10,5879.301,
1997-01,3083.007,
1997-04,2782.059,
1997-07,3545.910,
1997-10,2976.599,
1998-01,5074.696,
1998-04,4663.243,
1998-07,7208.428,
1998-10,2839.010,
1999-01,6206.679,
1999-04,17546.470,
1999-07,6374.863,
1999-10,5752.480,
2000-01,12336.236,
2000-04,9324.842,
2000-07,13073.472,
2000-10,12822.357,
2001-01,-3908.664,
2001-04,2802.503,
2001-07,12397.055,
2001-10,3772.967,
2002-01,2848.037,
2002-04,3893.012,
2002-07,6187.240,
2002-10,7504.826,
2003-01,3510.706,
2003-04,2621.285,
2003-07,5413.433,
2003-10,12687.640,
2004-01,-21241.746,
2004-04,4191.331,
2004-07,1960.599,
2004-10,5479.822,
2005-01,4978.404,
2005-04,8725.588,
2005-07,4769.415,
2005-10,13877.712,
2006-01,2528.373,
2006-04,7108.332,
2006-07,13451.354,
2006-10,31855.418,
2007-01,10914.120,
2007-04,10218.366,
2007-07,19448.462,
2007-10,9209.544,
2008-01,17117.121,
2008-04,15681.825,
2008-07,6557.810,
2008-10,7921.893,
2009-01,16300.434,
2009-04,14703.310,
2009-07,11876.894,
2009-10,-1507.188,
2010-01,16729.954,
2010-04,5265.752,
2010-07,9358.793,
2010-10,9345.221,
2011-01,10744.686,
2011-04,11083.905,
2011-07,9955.073,
2011-10,790.595,
2012-01,12569.770,
2012-04,12285.643,
2012-07,14222.397,
2012-10,2364.755,
2013-01,12146.157,
2013-04,3436.839,
2013-07,3037.990,
2013-10,-125.277,
2014-01,8929.001,
2014-04,3079.479,
2014-07,4077.324,
