"",BBK01.OEXB18O,BBK01.OEXB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:14,
2002-01,-0.653,
2002-04,-0.753,
2002-07,-0.740,
2002-10,-0.682,
2003-01,-0.766,
2003-04,-0.843,
2003-07,-0.914,
2003-10,-0.855,
2004-01,-0.911,
2004-04,-0.853,
2004-07,-0.878,
2004-10,-0.755,
2005-01,0.096,
2005-04,0.099,
2005-07,0.099,
2005-10,0.100,
2006-01,0.098,
2006-04,0.097,
2006-07,0.093,
2006-10,0.092,
2007-01,0.093,
2007-04,0.090,
2007-07,0.094,
2007-10,0.093,
2008-01,0.093,
2008-04,0.090,
2008-07,0.095,
2008-10,0.091,
2009-01,0.086,
2009-04,0.092,
2009-07,0.091,
2009-10,0.085,
2010-01,0.084,
2010-04,0.080,
2010-07,0.081,
2010-10,0.081,
2011-01,0.078,
2011-04,0.075,
2011-07,0.077,
2011-10,0.075,
2012-01,0.226,
2012-04,0.264,
2012-07,0.178,
2012-10,0.120,
2013-01,0.089,
2013-04,0.084,
2013-07,0.083,
2013-10,0.072,
2014-01,0.071,
2014-04,0.086,
2014-07,0.090,
