"",BBK01.OXA9X0,BBK01.OXA9X0_FLAGS
"",Loans to Financial vehicle corporations (FVCs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:04,
2010-06,0.586,
2010-07,0.552,
2010-08,0.444,
2010-09,0.433,
2010-10,0.499,
2010-11,0.616,
2010-12,0.838,
2011-01,0.714,
2011-02,0.674,
2011-03,0.592,
2011-04,0.553,
2011-05,0.745,
2011-06,0.569,
2011-07,0.838,
2011-08,0.947,
2011-09,0.919,
2011-10,0.914,
2011-11,0.918,
2011-12,0.770,
2012-01,0.745,
2012-02,0.767,
2012-03,0.526,
2012-04,0.841,
2012-05,0.731,
2012-06,0.796,
2012-07,0.596,
2012-08,0.592,
2012-09,0.577,
2012-10,0.592,
2012-11,0.626,
2012-12,0.577,
2013-01,0.587,
2013-02,0.596,
2013-03,0.719,
2013-04,0.701,
2013-05,0.708,
2013-06,1.373,
2013-07,1.515,
2013-08,1.503,
2013-09,1.238,
2013-10,1.235,
2013-11,1.232,
2013-12,1.218,
2014-01,1.219,
2014-02,1.210,
2014-03,1.288,
2014-04,1.399,
2014-05,1.371,
2014-06,1.561,
2014-07,1.562,
2014-08,1.549,
2014-09,1.568,
2014-10,1.553,
2014-11,1.526,
2014-12,1.524,Provisional value
