"",BBK01.OEXJ01O,BBK01.OEXJ01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:25,
2002-01,-7.381,
2002-04,-7.384,
2002-07,-7.299,
2002-10,-7.830,
2003-01,-8.794,
2003-04,-8.181,
2003-07,-8.468,
2003-10,-9.086,
2004-01,-8.928,
2004-04,-9.061,
2004-07,-9.302,
2004-10,-9.838,
2005-01,1.114,
2005-04,1.074,
2005-07,1.131,
2005-10,1.253,
2006-01,1.150,
2006-04,0.991,
2006-07,1.053,
2006-10,1.349,
2007-01,1.143,
2007-04,1.328,
2007-07,1.355,
2007-10,1.348,
2008-01,1.300,
2008-04,1.233,
2008-07,1.334,
2008-10,1.330,
2009-01,1.667,
2009-04,1.599,
2009-07,1.532,
2009-10,1.725,
2010-01,1.168,
2010-04,1.287,
2010-07,1.290,
2010-10,1.305,
2011-01,1.103,
2011-04,1.171,
2011-07,1.208,
2011-10,1.298,
2012-01,1.242,
2012-04,1.223,
2012-07,1.319,
2012-10,1.483,
2013-01,1.357,
2013-04,1.538,
2013-07,1.555,
2013-10,1.679,
2014-01,1.454,
2014-04,1.511,
2014-07,1.582,
