"",BBK01.OELB02J,BBK01.OELB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:38,
2002-01,0.163,
2002-04,0.156,
2002-07,0.155,
2002-10,0.130,
2003-01,0.133,
2003-04,0.136,
2003-07,0.123,
2003-10,0.123,
2004-01,0.103,
2004-04,0.111,
2004-07,0.102,
2004-10,0.110,
2005-01,0.101,
2005-04,0.099,
2005-07,0.102,
2005-10,0.101,
2006-01,0.105,
2006-04,0.111,
2006-07,0.111,
2006-10,0.090,
2007-01,0.098,
2007-04,0.092,
2007-07,0.086,
2007-10,0.094,
2008-01,0.101,
2008-04,0.100,
2008-07,0.105,
2008-10,0.101,
2009-01,0.101,
2009-04,0.094,
2009-07,0.097,
2009-10,0.085,
2010-01,0.088,
2010-04,0.083,
2010-07,0.088,
2010-10,0.090,
2011-01,0.086,
2011-04,0.110,
2011-07,0.106,
2011-10,0.099,
2012-01,0.126,
2012-04,0.122,
2012-07,0.130,
2012-10,0.157,
2013-01,0.140,
2013-04,0.143,
2013-07,0.151,
2013-10,0.140,
2014-01,0.145,
2014-04,0.155,
2014-07,0.145,
