"",BBDE1.Q.DE.Y.LCB1.P2XG00100.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.P2XG00100.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Section G-S - Service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:12,
1996-01,79.7,
1996-04,79.9,
1996-07,80.2,
1996-10,81.6,
1997-01,81.8,
1997-04,81.6,
1997-07,81.2,
1997-10,82.3,
1998-01,82.6,
1998-04,82.9,
1998-07,83.1,
1998-10,83.2,
1999-01,83.7,
1999-04,85.1,
1999-07,85.5,
1999-10,85.5,
2000-01,85.6,
2000-04,86.4,
2000-07,87.7,
2000-10,87.9,
2001-01,88.1,
2001-04,88.6,
2001-07,89.3,
2001-10,90.3,
2002-01,90.4,
2002-04,90.6,
2002-07,91.4,
2002-10,92.6,
2003-01,92.8,
2003-04,92.9,
2003-07,93.5,
2003-10,93.7,
2004-01,94.2,
2004-04,94.2,
2004-07,94.1,
2004-10,94.4,
2005-01,94.8,
2005-04,94.5,
2005-07,94.8,
2005-10,94.8,
2006-01,95.0,
2006-04,95.8,
2006-07,96.0,
2006-10,96.2,
2007-01,95.8,
2007-04,96.9,
2007-07,97.5,
2007-10,98.4,
2008-01,100.0,
2008-04,99.1,
2008-07,100.0,
2008-10,100.8,
2009-01,103.0,
2009-04,102.8,
2009-07,103.3,
2009-10,102.4,
2010-01,103.7,
2010-04,103.3,
2010-07,103.8,
2010-10,103.7,
2011-01,105.2,
2011-04,106.3,
2011-07,106.7,
2011-10,107.0,
2012-01,108.4,
2012-04,110.1,
2012-07,110.9,
2012-10,111.7,
2013-01,111.3,
2013-04,112.1,
2013-07,111.5,
2013-10,112.6,
2014-01,112.6,
2014-04,113.0,
2014-07,113.8,
