"",BBK01.OEBI04P,BBK01.OEBI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:34,
2002-01,0.426,
2002-04,0.428,
2002-07,0.411,
2002-10,0.418,
2003-01,0.413,
2003-04,0.398,
2003-07,0.413,
2003-10,0.596,
2004-01,0.543,
2004-04,0.564,
2004-07,0.331,
2004-10,0.544,
2005-01,0.422,
2005-04,0.307,
2005-07,0.294,
2005-10,0.390,
2006-01,0.356,
2006-04,0.298,
2006-07,0.298,
2006-10,0.323,
2007-01,0.408,
2007-04,0.428,
2007-07,0.552,
2007-10,0.719,
2008-01,0.777,
2008-04,0.765,
2008-07,0.707,
2008-10,0.884,
2009-01,0.807,
2009-04,0.649,
2009-07,0.594,
2009-10,0.523,
2010-01,0.628,
2010-04,0.393,
2010-07,0.387,
2010-10,0.403,
2011-01,0.443,
2011-04,0.533,
2011-07,0.527,
2011-10,0.604,
2012-01,0.558,
2012-04,0.607,
2012-07,0.787,
2012-10,0.692,
2013-01,0.601,
2013-04,0.470,
2013-07,0.390,
2013-10,0.286,
2014-01,0.293,
2014-04,0.375,
2014-07,0.246,
