"",BBSF2.M.1.S.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:59,
1993-04,0,
1993-05,-,Nothing exists
1993-06,1,
1993-07,1,
1993-08,1,
1993-09,-,Nothing exists
1993-10,7,
1993-11,29,
1993-12,148,
1994-01,69,
1994-02,19,
1994-03,5,
1994-04,3,
1994-05,0,
1994-06,13,
1994-07,0,
1994-08,0,
1994-09,51,
1994-10,1,
1994-11,24,
1994-12,198,
1995-01,93,
1995-02,11,
1995-03,22,
1995-04,6,
1995-05,0,
1995-06,1,
1995-07,-,Nothing exists
1995-08,15,
1995-09,15,
1995-10,30,
1995-11,24,
1995-12,203,
1996-01,64,
1996-02,31,
1996-03,48,
1996-04,17,
1996-05,4,
1996-06,3,
1996-07,2,
1996-08,1,
1996-09,2,
1996-10,1,
1996-11,70,
1996-12,362,
1997-01,59,
1997-02,60,
1997-03,32,
1997-04,43,
1997-05,5,
1997-06,5,
1997-07,14,
1997-08,22,
1997-09,26,
1997-10,15,
1997-11,58,
1997-12,565,
1998-01,211,
1998-02,99,
1998-03,82,
1998-04,56,
1998-05,3,
1998-06,12,
1998-07,1,
1998-08,63,
1998-09,6,
1998-10,6,
1998-11,53,
1998-12,770,
1999-01,176,
1999-02,94,
1999-03,20,
1999-04,21,
1999-05,37,
1999-06,30,
1999-07,25,
1999-08,5,
1999-09,3,
1999-10,9,
1999-11,97,
1999-12,1141,
2000-01,268,
2000-02,128,
2000-03,20,
2000-04,47,
2000-05,19,
2000-06,45,
2000-07,95,
2000-08,24,
2000-09,46,
2000-10,16,
2000-11,279,
2000-12,833,
2001-01,165,
2001-02,96,
2001-03,13,
2001-04,17,
2001-05,33,
2001-06,25,
2001-07,2,
2001-08,33,
2001-09,2,
2001-10,51,
2001-11,120,
2001-12,1210,
2002-01,155,
2002-02,116,
2002-03,10,
2002-04,63,
2002-05,20,
2002-06,19,
2002-07,5,
2002-08,4,
2002-09,0,
2002-10,27,
2002-11,125,
2002-12,472,
2003-01,71,
2003-02,145,
2003-03,19,
2003-04,52,
2003-05,14,
2003-06,85,
2003-07,9,
2003-08,1,
2003-09,26,
2003-10,25,
2003-11,109,
2003-12,449,
2004-01,50,
2004-02,53,
2004-03,55,
2004-04,44,
2004-05,21,
2004-06,37,
2004-07,3,
2004-08,8,
2004-09,8,
2004-10,8,
2004-11,75,
2004-12,363,
2005-01,54,
2005-02,130,
2005-03,25,
2005-04,49,
2005-05,17,
2005-06,58,
2005-07,4,
2005-08,46,
2005-09,7,
2005-10,1,
2005-11,205,
2005-12,517,
2006-01,218,
2006-02,124,
2006-03,231,
2006-04,68,
2006-05,15,
2006-06,218,
2006-07,27,
2006-08,0,
2006-09,10,
2006-10,32,
2006-11,99,
2006-12,682,
2007-01,141,
2007-02,181,
2007-03,166,
2007-04,72,
2007-05,44,
2007-06,82,
2007-07,16,
2007-08,4,
2007-09,15,
2007-10,3,
2007-11,286,
2007-12,1214,
2008-01,77,
2008-02,125,
2008-03,29,
2008-04,26,
2008-05,56,
2008-06,169,
2008-07,22,
2008-08,56,
2008-09,30,
2008-10,52,
2008-11,270,
2008-12,616,
2009-01,253,
2009-02,192,
2009-03,81,
2009-04,153,
2009-05,12,
2009-06,30,
2009-07,110,
2009-08,33,
2009-09,15,
2009-10,108,
2009-11,146,
2009-12,344,
2010-01,416,
2010-02,80,
2010-03,76,
2010-04,92,
2010-05,45,
2010-06,12,
2010-07,8,
2010-08,28,
2010-09,224,
2010-10,6,
2010-11,196,
2010-12,343,
2011-01,199,
2011-02,136,
2011-03,53,
2011-04,29,
2011-05,29,
2011-06,10,
2011-07,5,
2011-08,89,
2011-09,51,
2011-10,3,
2011-11,132,
2011-12,330,
2012-01,394,
2012-02,95,
2012-03,146,
2012-04,16,
2012-05,29,
2012-06,34,
2012-07,94,
2012-08,273,
2012-09,77,
2012-10,162,
2012-11,280,
2012-12,539,
2013-01,338,
2013-02,112,
2013-03,51,
2013-04,36,
2013-05,26,
2013-06,34,
2013-07,112,
2013-08,86,
2013-09,10,
2013-10,114,
2013-11,295,
2013-12,1350,
2014-01,172,
2014-02,91,
2014-03,21,
2014-04,40,
2014-05,8,
2014-06,12,
2014-07,124,
2014-08,116,
2014-09,111,
2014-10,27,
2014-11,222,
