"",BBK01.OEAH34S,BBK01.OEAH34S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:19,
2002-01,0.017,
2002-04,0.018,
2002-07,0.016,
2002-10,0.016,
2003-01,0.007,
2003-04,0.007,
2003-07,0.002,
2003-10,0.005,
2004-01,0.012,
2004-04,0.008,
2004-07,0.011,
2004-10,0.006,
2005-01,0.007,
2005-04,0.006,
2005-07,0.004,
2005-10,0.009,
2006-01,0.009,
2006-04,0.017,
2006-07,0.017,
2006-10,0.017,
2007-01,0.022,
2007-04,0.016,
2007-07,0.034,
2007-10,0.048,
2008-01,0.054,
2008-04,0.069,
2008-07,0.059,
2008-10,0.058,
2009-01,0.055,
2009-04,0.039,
2009-07,0.042,
2009-10,0.032,
2010-01,0.029,
2010-04,0.035,
2010-07,0.028,
2010-10,0.031,
2011-01,0.028,
2011-04,0.024,
2011-07,0.025,
2011-10,0.035,
2012-01,0.041,
2012-04,0.041,
2012-07,0.037,
2012-10,0.040,
2013-01,0.091,
2013-04,0.083,
2013-07,0.094,
2013-10,0.099,
2014-01,0.126,
2014-04,0.132,
2014-07,0.119,
