"",BBK01.OEBB16U,BBK01.OEBB16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:05,
2002-01,1.118,
2002-04,1.109,
2002-07,1.098,
2002-10,1.112,
2003-01,1.086,
2003-04,1.078,
2003-07,1.066,
2003-10,1.056,
2004-01,1.039,
2004-04,1.032,
2004-07,1.025,
2004-10,1.018,
2005-01,1.029,
2005-04,1.004,
2005-07,0.992,
2005-10,0.967,
2006-01,0.968,
2006-04,0.979,
2006-07,0.975,
2006-10,0.960,
2007-01,0.956,
2007-04,0.929,
2007-07,0.926,
2007-10,0.963,
2008-01,0.924,
2008-04,0.915,
2008-07,0.910,
2008-10,0.913,
2009-01,0.902,
2009-04,1.297,
2009-07,1.277,
2009-10,1.268,
2010-01,1.253,
2010-04,1.247,
2010-07,1.240,
2010-10,1.228,
2011-01,1.292,
2011-04,1.277,
2011-07,1.253,
2011-10,1.234,
2012-01,1.215,
2012-04,1.249,
2012-07,1.242,
2012-10,1.224,
2013-01,1.218,
2013-04,1.215,
2013-07,1.324,
2013-10,1.342,
2014-01,1.322,
2014-04,1.274,
2014-07,1.286,
