"",BBFB1.Q.N.DE.A2.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:33,
1991-01,845.029,
1991-04,1213.183,
1991-07,755.061,
1991-10,646.411,
1992-01,490.948,
1992-04,672.517,
1992-07,267.008,
1992-10,306.166,
1993-01,206.450,
1993-04,311.422,
1993-07,104.516,
1993-10,-21.475,
1994-01,343.139,
1994-04,400.682,
1994-07,-3.878,
1994-10,182.198,
1995-01,-109.917,
1995-04,86.496,
1995-07,-436.544,
1995-10,-43.149,
1996-01,-115.466,
1996-04,150.454,
1996-07,-371.919,
1996-10,-135.790,
1997-01,-576.825,
1997-04,53.754,
1997-07,-344.695,
1997-10,-253.864,
1998-01,-392.264,
1998-04,-412.737,
1998-07,-1157.712,
1998-10,-1129.496,
1999-01,-974.244,
1999-04,-723.099,
1999-07,-826.291,
1999-10,-1610.280,
2000-01,-465.374,
2000-04,-95.784,
2000-07,-641.692,
2000-10,-1548.571,
2001-01,-844.186,
2001-04,-846.175,
2001-07,-1686.051,
2001-10,-1817.275,
2002-01,-114.977,
2002-04,282.344,
2002-07,480.642,
2002-10,190.753,
2003-01,-565.237,
2003-04,204.148,
2003-07,-177.447,
2003-10,-397.644,
2004-01,-118.379,
2004-04,-75.402,
2004-07,375.743,
2004-10,-115.878,
2005-01,758.341,
2005-04,45.126,
2005-07,-514.531,
2005-10,-466.612,
2006-01,-1113.538,
2006-04,19.333,
2006-07,-584.514,
2006-10,-1451.946,
2007-01,-470.333,
2007-04,374.828,
2007-07,-355.692,
2007-10,250.114,
2008-01,-588.268,
2008-04,-354.922,
2008-07,-761.640,
2008-10,-65.481,
2009-01,67.380,
2009-04,-109.596,
2009-07,-686.680,
2009-10,5.256,
2010-01,-5.377,
2010-04,-365.956,
2010-07,-430.462,
2010-10,142.626,
2011-01,93.237,
2011-04,-399.200,
2011-07,-966.654,
2011-10,-62.583,
2012-01,-1539.957,
2012-04,-71.242,
2012-07,-639.916,
2012-10,148.163,
2013-01,-1173.113,
2013-04,-709.735,
2013-07,-841.994,
2013-10,-613.245,
2014-01,-255.018,Provisional value
2014-04,-322.366,Provisional value
2014-07,-1243.242,Provisional value
