"",BBK01.OEHL09H,BBK01.OEHL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:23,
2002-01,11.205,
2002-04,11.096,
2002-07,10.879,
2002-10,10.897,
2003-01,10.262,
2003-04,9.666,
2003-07,9.229,
2003-10,9.557,
2004-01,9.240,
2004-04,9.016,
2004-07,9.143,
2004-10,9.397,
2005-01,9.295,
2005-04,9.090,
2005-07,8.698,
2005-10,9.022,
2006-01,9.064,
2006-04,9.303,
2006-07,9.575,
2006-10,10.478,
2007-01,10.610,
2007-04,10.688,
2007-07,10.714,
2007-10,11.016,
2008-01,10.356,
2008-04,9.799,
2008-07,9.156,
2008-10,8.706,
2009-01,9.170,
2009-04,9.686,
2009-07,10.112,
2009-10,10.595,
2010-01,10.300,
2010-04,9.204,
2010-07,8.545,
2010-10,8.353,
2011-01,8.283,
2011-04,8.199,
2011-07,7.861,
2011-10,7.409,
2012-01,6.763,
2012-04,6.217,
2012-07,5.769,
2012-10,5.570,
2013-01,5.366,
2013-04,4.946,
2013-07,4.895,
2013-10,4.968,
2014-01,5.171,
2014-04,5.359,
2014-07,5.347,
