"",BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:12,
1991-01,-11.526,
1991-04,-11.526,
1991-07,-11.526,
1991-10,-11.526,
1992-01,-30.658,
1992-04,-30.658,
1992-07,-30.658,
1992-10,-30.658,
1993-01,-59.312,
1993-04,-59.065,
1993-07,-58.681,
1993-10,-108.603,
1994-01,-1.962,
1994-04,-1.962,
1994-07,-1.962,
1994-10,-1.962,
1995-01,29.857,
1995-04,24.630,
1995-07,29.857,
1995-10,29.857,
1996-01,9.409,
1996-04,-125.248,
1996-07,9.946,
1996-10,9.946,
1997-01,38.347,
1997-04,38.347,
1997-07,38.347,
1997-10,38.347,
1998-01,-1.244,
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,34.000,
1999-04,31.077,
1999-07,33.000,
1999-10,33.000,
2000-01,54.000,
2000-04,54.000,
2000-07,54.000,
2000-10,53.000,
2001-01,99.057,
2001-04,95.548,
2001-07,65.548,
2001-10,77.057,
2002-01,267.157,
2002-04,266.980,
2002-07,347.294,
2002-10,12.733,
2003-01,114.383,
2003-04,-211.761,
2003-07,143.260,
2003-10,173.073,
2004-01,74.984,
2004-04,-51.146,
2004-07,86.509,
2004-10,3.901,
2005-01,15.540,
2005-04,17.257,
2005-07,21.676,
2005-10,7.527,
2006-01,-144.147,
2006-04,-162.319,
2006-07,-177.585,
2006-10,-210.986,
2007-01,-3.359,
2007-04,-33.416,
2007-07,-3.543,
2007-10,0.307,
2008-01,768.164,
2008-04,-453.533,
2008-07,-759.047,
2008-10,-213.021,
2009-01,-18.660,
2009-04,-54.494,
2009-07,-152.168,
2009-10,-293.677,
2010-01,14.221,
2010-04,41.986,
2010-07,46.383,
2010-10,46.420,
2011-01,-191.012,
2011-04,-173.269,
2011-07,-182.593,
2011-10,-195.126,
2012-01,-210.690,
2012-04,-281.023,
2012-07,-226.020,
2012-10,-215.756,
2013-01,-19.143,
2013-04,8.347,
2013-07,7.062,
2013-10,2.529,
2014-01,7.441,Provisional value
2014-04,-4.047,Provisional value
2014-07,8.113,Provisional value
2014-10,4.927,Provisional value
