"",BBK01.OEAD31V,BBK01.OEAD31V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:07,
2002-01,2.524,
2002-04,2.514,
2002-07,2.463,
2002-10,2.334,
2003-01,2.323,
2003-04,2.066,
2003-07,1.982,
2003-10,1.966,
2004-01,1.947,
2004-04,1.915,
2004-07,1.856,
2004-10,1.788,
2005-01,1.700,
2005-04,1.690,
2005-07,1.650,
2005-10,1.627,
2006-01,1.597,
2006-04,1.588,
2006-07,1.595,
2006-10,1.695,
2007-01,1.691,
2007-04,1.687,
2007-07,1.676,
2007-10,1.767,
2008-01,1.759,
2008-04,1.791,
2008-07,1.870,
2008-10,1.904,
2009-01,1.866,
2009-04,1.974,
2009-07,1.971,
2009-10,1.810,
2010-01,1.913,
2010-04,1.913,
2010-07,1.913,
2010-10,1.834,
2011-01,1.823,
2011-04,1.824,
2011-07,1.839,
2011-10,1.903,
2012-01,1.909,
2012-04,1.865,
2012-07,1.770,
2012-10,1.759,
2013-01,1.759,
2013-04,1.691,
2013-07,1.746,
2013-10,1.772,
2014-01,1.752,
2014-04,1.745,
2014-07,1.726,
