"",BBK01.OEAE36G,BBK01.OEAE36G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:02,
2002-01,5.914,
2002-04,5.929,
2002-07,5.685,
2002-10,5.842,
2003-01,5.804,
2003-04,5.852,
2003-07,6.316,
2003-10,6.234,
2004-01,6.150,
2004-04,6.160,
2004-07,5.969,
2004-10,5.915,
2005-01,6.032,
2005-04,6.020,
2005-07,5.960,
2005-10,6.135,
2006-01,5.854,
2006-04,5.835,
2006-07,5.908,
2006-10,5.902,
2007-01,5.860,
2007-04,5.923,
2007-07,5.979,
2007-10,6.145,
2008-01,5.962,
2008-04,6.079,
2008-07,6.105,
2008-10,5.309,
2009-01,5.442,
2009-04,5.482,
2009-07,5.599,
2009-10,5.285,
2010-01,4.478,
2010-04,4.518,
2010-07,4.558,
2010-10,4.591,
2011-01,4.573,
2011-04,4.580,
2011-07,4.557,
2011-10,4.516,
2012-01,4.468,
2012-04,4.500,
2012-07,4.561,
2012-10,4.618,
2013-01,4.170,
2013-04,4.287,
2013-07,4.212,
2013-10,4.295,
2014-01,4.339,
2014-04,4.332,
2014-07,4.307,
