"",BBK01.OEAC30R,BBK01.OEAC30R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:47,
2002-01,0.181,
2002-04,0.175,
2002-07,0.171,
2002-10,0.162,
2003-01,0.165,
2003-04,0.161,
2003-07,0.148,
2003-10,0.130,
2004-01,0.137,
2004-04,0.136,
2004-07,0.127,
2004-10,0.115,
2005-01,0.123,
2005-04,0.114,
2005-07,0.110,
2005-10,0.103,
2006-01,0.102,
2006-04,0.102,
2006-07,0.098,
2006-10,0.081,
2007-01,0.088,
2007-04,0.088,
2007-07,0.092,
2007-10,0.088,
2008-01,0.095,
2008-04,0.091,
2008-07,0.084,
2008-10,0.078,
2009-01,0.081,
2009-04,0.088,
2009-07,0.079,
2009-10,0.067,
2010-01,0.074,
2010-04,0.074,
2010-07,0.065,
2010-10,0.056,
2011-01,0.062,
2011-04,0.063,
2011-07,0.060,
2011-10,0.058,
2012-01,0.064,
2012-04,0.067,
2012-07,0.062,
2012-10,0.058,
2013-01,0.067,
2013-04,0.068,
2013-07,0.061,
2013-10,0.051,
2014-01,0.056,
2014-04,0.059,
2014-07,0.053,
