"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F519._Z._T.M.N_FLAGS
"",IIP - Direct investment - Other equity (e.g. real estate) - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:54,
1999-10,110631,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,96320,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,181259,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,154630,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,141244,
2004-01,137060,
2004-04,142785,
2004-07,140007,
2004-10,133601,
2005-01,146826,
2005-04,159154,
2005-07,165063,
2005-10,169910,
2006-01,171916,
2006-04,179416,
2006-07,186701,
2006-10,198890,
2007-01,200873,
2007-04,217761,
2007-07,220651,
2007-10,244151,
2008-01,238649,
2008-04,246159,
2008-07,260038,
2008-10,193418,
2009-01,205735,
2009-04,215313,
2009-07,218999,
2009-10,220206,
2010-01,232386,
2010-04,254567,
2010-07,239572,
2010-10,257402,
2011-01,250099,
2011-04,256856,
2011-07,266720,
2011-10,269058,
2012-01,273675,
2012-04,286776,
2012-07,294611,
2012-10,304022,
2013-01,316109,
2013-04,312837,
2013-07,313987,
2013-10,309981,
2014-01,316340,
2014-04,325329,
2014-07,339858,
