"",BBFN1.M.DE.N.1.A.PA.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PA.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:52,
1982-09,0.012,
1982-10,0.012,
1982-11,0.012,
1982-12,0.011,
1983-01,0.011,
1983-02,0.010,
1983-03,0.009,
1983-04,0.008,
1983-05,0.008,
1983-06,0.007,
1983-07,0.008,
1983-08,0.008,
1983-09,0.008,
1983-10,0.008,
1983-11,0.008,
1983-12,0.009,
1984-01,0.009,
1984-02,0.009,
1984-03,0.020,
1984-04,0.020,
1984-05,0.016,
1984-06,0.015,
1984-07,0.015,
1984-08,0.015,
1984-09,0.015,
1984-10,0.018,
1984-11,0.017,
1984-12,0.017,
1985-01,0.017,
1985-02,0.017,
1985-03,0.017,
1985-04,0.020,
1985-05,0.020,
1985-06,0.023,
1985-07,0.023,
1985-08,0.023,
1985-09,0.026,
1985-10,0.026,
1985-11,0.026,
1985-12,0.024,
1986-01,0.024,
1986-02,0.024,
1986-03,0.024,
1986-04,0.028,
1986-05,0.028,
1986-06,0.028,
1986-07,0.028,
1986-08,0.030,
1986-09,0.030,
1986-10,0.029,
1986-11,0.029,
1986-12,0.028,
1987-01,0.026,
1987-02,0.026,
1987-03,0.026,
1987-04,0.026,
1987-05,0.026,
1987-06,0.024,
1987-07,0.023,
1987-08,0.023,
1987-09,0.023,
1987-10,0.023,
1987-11,0.023,
1987-12,0.023,
1988-01,0.021,
1988-02,0.021,
1988-03,0.021,
1988-04,0.022,
1988-05,0.022,
1988-06,0.022,
1988-07,0.022,
1988-08,0.022,
1988-09,0.022,
1988-10,0.022,
1988-11,0.022,
1988-12,0.022,
1989-01,0.022,
1989-02,0.022,
1989-03,0.023,
1989-04,0.023,
1989-05,0.022,
1989-06,0.022,
1989-07,0.048,
1989-08,0.048,
1989-09,0.073,
1989-10,0.073,
1989-11,0.070,
1989-12,0.067,
1990-01,0.065,
1990-02,0.065,
1990-03,0.073,
1990-04,0.073,
1990-05,0.073,
1990-06,0.071,
1990-07,0.060,
1990-08,0.059,
1990-09,0.058,
1990-10,0.057,
1990-11,0.057,
1990-12,0.055,
1991-01,0.055,
1991-02,0.056,
1991-03,0.055,
1991-04,0.056,
1991-05,0.056,
1991-06,0.055,
