"",BBK01.WX4217,BBK01.WX4217_FLAGS
"",Purchases of domestic and foreign mutual fund shares by residents,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:16,
1970-01,193,
1970-02,140,
1970-03,110,
1970-04,81,
1970-05,-32,
1970-06,38,
1970-07,44,
1970-08,74,
1970-09,46,
1970-10,30,
1970-11,85,
1970-12,94,
1971-01,101,
1971-02,83,
1971-03,90,
1971-04,62,
1971-05,43,
1971-06,60,
1971-07,63,
1971-08,51,
1971-09,55,
1971-10,53,
1971-11,107,
1971-12,136,
1972-01,165,
1972-02,241,
1972-03,176,
1972-04,151,
1972-05,129,
1972-06,258,
1972-07,228,
1972-08,259,
1972-09,163,
1972-10,153,
1972-11,230,
1972-12,208,
1973-01,225,
1973-02,222,
1973-03,143,
1973-04,125,
1973-05,57,
1973-06,72,
1973-07,60,
1973-08,76,
1973-09,34,
1973-10,62,
1973-11,130,
1973-12,36,
1974-01,30,
1974-02,20,
1974-03,-28,
1974-04,-15,
1974-05,21,
1974-06,16,
1974-07,-5,
1974-08,50,
1974-09,-5,
1974-10,7,
1974-11,93,
1974-12,179,
1975-01,199,
1975-02,162,
1975-03,50,
1975-04,85,
1975-05,92,
1975-06,136,
1975-07,36,
1975-08,129,
1975-09,57,
1975-10,125,
1975-11,253,
1975-12,259,
1976-01,234,
1976-02,194,
1976-03,254,
1976-04,164,
1976-05,161,
1976-06,163,
1976-07,100,
1976-08,251,
1976-09,165,
1976-10,237,
1976-11,601,
1976-12,447,
1977-01,460,
1977-02,332,
1977-03,419,
1977-04,367,
1977-05,306,
1977-06,253,
1977-07,307,
1977-08,541,
1977-09,285,
1977-10,353,
1977-11,730,
1977-12,616,
1978-01,796,
1978-02,692,
1978-03,523,
1978-04,351,
1978-05,191,
1978-06,221,
1978-07,48,
1978-08,380,
1978-09,237,
1978-10,220,
1978-11,424,
1978-12,298,
1979-01,431,
1979-02,332,
1979-03,180,
1979-04,128,
1979-05,47,
1979-06,110,
1979-07,139,
1979-08,293,
1979-09,70,
1979-10,86,
1979-11,241,
1979-12,200,
1980-01,117,
1980-02,77,
1980-03,-146,
1980-04,5,
1980-05,-2,
1980-06,16,
1980-07,85,
1980-08,172,
1980-09,-35,
1980-10,12,
1980-11,121,
1980-12,67,
1981-01,66,
1981-02,-4,
1981-03,-127,
1981-04,-85,
1981-05,-115,
1981-06,-103,
1981-07,-69,
1981-08,-17,
1981-09,-25,
1981-10,39,
1981-11,306,
1981-12,148,
1982-01,168,
1982-02,218,
1982-03,185,
1982-04,149,
1982-05,62,
1982-06,27,
1982-07,51,
1982-08,267,
1982-09,122,
1982-10,389,
1982-11,399,
1982-12,389,
1983-01,382,
1983-02,533,
1983-03,567,
1983-04,305,
1983-05,121,
1983-06,174,
1983-07,229,
1983-08,187,
1983-09,84,
1983-10,341,
1983-11,492,
1983-12,448,
1984-01,485,
1984-02,580,
1984-03,242,
1984-04,194,
1984-05,101,
1984-06,244,
1984-07,233,
1984-08,301,
1984-09,151,
1984-10,350,
1984-11,803,
1984-12,759,
1985-01,879,
1985-02,877,
1985-03,210,
1985-04,478,
1985-05,520,
1985-06,349,
1985-07,561,
1985-08,705,
1985-09,455,
1985-10,789,
1985-11,1048,
1985-12,1080,
1986-01,1312,
1986-02,1196,
1986-03,1148,
1986-04,1301,
1986-05,711,
1986-06,769,
1986-07,797,
1986-08,1157,
1986-09,513,
1986-10,822,
1986-11,1159,
1986-12,1966,
1987-01,1690,
1987-02,1490,
1987-03,1551,
1987-04,1290,
1987-05,1491,
1987-06,957,
1987-07,1319,
1987-08,1276,
1987-09,895,
1987-10,1217,
1987-11,1493,
1987-12,1805,
1988-01,1784,
1988-02,2195,
1988-03,1872,
1988-04,1689,
1988-05,1327,
1988-06,1640,
1988-07,1930,
1988-08,2158,
1988-09,1722,
1988-10,1689,
1988-11,3263,
1988-12,3996,
1989-01,3585,
1989-02,2662,
1989-03,1471,
1989-04,2032,
1989-05,533,
1989-06,932,
1989-07,1505,
1989-08,1530,
1989-09,878,
1989-10,1367,
1989-11,1829,
1989-12,2110,
1990-01,1900,
1990-02,1647,
1990-03,1110,
1990-04,918,
1990-05,483,
1990-06,377,
1990-07,488,
1990-08,1301,
1990-09,670,
1990-10,886,
1990-11,1550,
1990-12,1843,
1991-01,1786,
1991-02,2174,
1991-03,2687,
1991-04,1730,
1991-05,2261,
1991-06,1959,
1991-07,2674,
1991-08,1902,
1991-09,1732,
1991-10,1990,
1991-11,2499,
1991-12,2113,
1992-01,5553,
1992-02,4069,
1992-03,2553,
1992-04,2992,
1992-05,2142,
1992-06,2050,
1992-07,3440,
1992-08,2680,
1992-09,1184,
1992-10,3979,
1992-11,5095,
1992-12,5942,
1993-01,9860,
1993-02,8570,
1993-03,3340,
