"",BBK01.OELL08O,BBK01.OELL08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:29,
2002-01,10.266,
2002-04,10.277,
2002-07,10.268,
2002-10,10.462,
2003-01,10.579,
2003-04,10.581,
2003-07,10.510,
2003-10,10.753,
2004-01,10.751,
2004-04,10.775,
2004-07,10.739,
2004-10,10.891,
2005-01,10.748,
2005-04,10.632,
2005-07,10.463,
2005-10,10.470,
2006-01,10.233,
2006-04,10.166,
2006-07,10.011,
2006-10,9.945,
2007-01,9.583,
2007-04,9.325,
2007-07,8.806,
2007-10,8.319,
2008-01,8.062,
2008-04,7.891,
2008-07,7.680,
2008-10,7.633,
2009-01,7.739,
2009-04,7.864,
2009-07,8.077,
2009-10,8.462,
2010-01,8.751,
2010-04,8.918,
2010-07,9.052,
2010-10,9.273,
2011-01,9.391,
2011-04,9.510,
2011-07,9.512,
2011-10,9.860,
2012-01,9.675,
2012-04,9.571,
2012-07,9.408,
2012-10,9.298,
2013-01,8.951,
2013-04,8.864,
2013-07,8.833,
2013-10,8.932,
2014-01,9.155,
2014-04,9.100,
2014-07,9.010,
