"",BBDL1.M.DE1.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE1.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A_FLAGS
"",Employees subject to social security contributions / West Germany / Total / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:12,
1999-06,21639,
1999-07,21632,
1999-08,21683,
1999-09,21729,
1999-10,21765,
1999-11,21856,
1999-12,21902,
2000-01,21953,
2000-02,22011,
2000-03,22052,
2000-04,22071,
2000-05,22130,
2000-06,22168,
2000-07,22215,
2000-08,22267,
2000-09,22245,
2000-10,22252,
2000-11,22289,
2000-12,22315,
2001-01,22270,
2001-02,22285,
2001-03,22305,
2001-04,22341,
2001-05,22358,
2001-06,22291,
2001-07,22283,
2001-08,22280,
2001-09,22216,
2001-10,22345,
2001-11,22346,
2001-12,22353,
2002-01,22391,
2002-02,22399,
2002-03,22360,
2002-04,22351,
2002-05,22319,
2002-06,22284,
2002-07,22293,
2002-08,22236,
2002-09,22173,
2002-10,22126,
2002-11,22071,
2002-12,22035,
2003-01,22015,
2003-02,21973,
2003-03,21920,
2003-04,21834,
2003-05,21763,
2003-06,21750,
2003-07,21693,
2003-08,21610,
2003-09,21592,
2003-10,21552,
2003-11,21507,
2003-12,21479,
2004-01,21459,
2004-02,21433,
2004-03,21461,
2004-04,21446,
2004-05,21425,
2004-06,21440,
2004-07,21412,
2004-08,21428,
2004-09,21483,
2004-10,21424,
2004-11,21408,
2004-12,21389,
2005-01,21304,
2005-02,21302,
2005-03,21294,
2005-04,21315,
2005-05,21321,
2005-06,21335,
2005-07,21321,
2005-08,21337,
2005-09,21349,
2005-10,21345,
2005-11,21363,
2005-12,21358,
2006-01,21292,
2006-02,21316,
2006-03,21346,
2006-04,21402,
2006-05,21483,
2006-06,21507,
2006-07,21538,
2006-08,21557,
2006-09,21567,
2006-10,21598,
2006-11,21636,
2006-12,21661,
2007-01,21737,
2007-02,21789,
2007-03,21819,
2007-04,21862,
2007-05,21899,
2007-06,21924,
2007-07,21988,
2007-08,22048,
2007-09,22076,
2007-10,22154,
2007-11,22183,
2007-12,22220,
2008-01,22309,
2008-02,22374,
2008-03,22396,
2008-04,22420,
2008-05,22432,
2008-06,22467,
2008-07,22514,
2008-08,22535,
2008-09,22575,
2008-10,22586,
2008-11,22565,
2008-12,22578,
2009-01,22554,
2009-02,22531,
2009-03,22483,
2009-04,22433,
2009-05,22389,
2009-06,22381,
2009-07,22372,
2009-08,22377,
2009-09,22391,
2009-10,22386,
2009-11,22425,
2009-12,22454,
2010-01,22444,
2010-02,22451,
2010-03,22514,
2010-04,22571,
2010-05,22622,
2010-06,22666,
2010-07,22694,
2010-08,22743,
2010-09,22784,
2010-10,22811,
2010-11,22859,
2010-12,22903,
2011-01,22951,
2011-02,23021,
2011-03,23084,
2011-04,23125,
2011-05,23200,
2011-06,23250,
2011-07,23282,
2011-08,23345,
2011-09,23403,
2011-10,23455,
2011-11,23501,
2011-12,23554,
2012-01,23635,
2012-02,23664,
2012-03,23714,
2012-04,23746,
2012-05,23776,
2012-06,23794,
2012-07,23842,
2012-08,23864,
2012-09,23867,
2012-10,23932,
2012-11,23963,
2012-12,23981,
2013-01,24000,
2013-02,24028,
2013-03,24022,
2013-04,24063,
2013-05,24083,
2013-06,24094,
2013-07,24141,
2013-08,24184,
2013-09,24224,
2013-10,24237,
2013-11,24253,
2013-12,24285,
2014-01,24338,
2014-02,24387,
2014-03,24433,
2014-04,24468,
2014-05,24492,
2014-06,24557,
2014-07,24579,
2014-08,24582,
2014-09,24634,Estimated value
2014-10,24672,Estimated value
2014-11,24739,Estimated value
2014-12,24785,Estimated value
