"",BBK01.CEHQ0X,BBK01.CEHQ0X_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:54,
1991-01,4.2,
1991-04,-1.4,
1991-07,-4.6,
1991-10,-0.2,
1992-01,1.6,
1992-04,-2.5,
1992-07,1.8,
1992-10,-0.8,
1993-01,4.9,
1993-04,0.3,
1993-07,2.4,
1993-10,1.7,
1994-01,2.0,
1994-04,-1.2,
1994-07,3.7,
1994-10,-5.7,
1995-01,6.5,
1995-04,1.2,
1995-07,-2.9,
1995-10,-3.0,
1996-01,11.7,
1996-04,1.2,
1996-07,-0.6,
1996-10,-6.4,
1997-01,11.9,
1997-04,-1.5,
1997-07,-3.3,
1997-10,-0.7,
1998-01,11.6,
1998-04,0.5,
1998-07,6.8,
1998-10,-6.0,
1999-01,-3.4,
1999-04,-5.0,
1999-07,1.1,
1999-10,-2.1,
2000-01,5.3,
2000-04,-6.8,
2000-07,4.8,
2000-10,-3.8,
2001-01,4.3,
2001-04,-0.9,
2001-07,4.0,
2001-10,0.6,
2002-01,13.1,
2002-04,1.4,
2002-07,2.3,
2002-10,-17.2,
2003-01,12.2,
2003-04,6.5,
2003-07,9.1,
2003-10,-7.0,
2004-01,4.9,
2004-04,-5.7,
2004-07,-1.2,
2004-10,3.4,
2005-01,10.4,
2005-04,-6.3,
2005-07,8.6,
2005-10,-7.8,
2006-01,14.4,
2006-04,-5.2,
2006-07,14.0,
2006-10,-20.0,
2007-01,25.0,
2007-04,-2.9,
2007-07,-2.6,
2007-10,11.3,
2008-01,33.2,
2008-04,-7.1,
2008-07,32.3,
2008-10,-5.1,
2009-01,24.8,
2009-04,-12.4,
2009-07,-16.4,
2009-10,12.0,
2010-01,-14.8,
2010-04,24.5,
2010-07,5.2,
2010-10,-12.3,
2011-01,3.0,
2011-04,49.6,
2011-07,55.4,
2011-10,-29.2,
2012-01,2.9,
2012-04,45.1,
2012-07,1.6,
2012-10,-42.7,
2013-01,43.1,
2013-04,29.7,
2013-07,-54.5,
2013-10,-4.5,
2014-01,22.9,
