"",BBK01.OEHO05H,BBK01.OEHO05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:54,
2002-01,0.043,
2002-04,0.039,
2002-07,0.049,
2002-10,1.331,
2003-01,0.041,
2003-04,0.036,
2003-07,0.042,
2003-10,1.157,
2004-01,0.032,
2004-04,0.028,
2004-07,0.033,
2004-10,1.086,
2005-01,0.039,
2005-04,0.028,
2005-07,0.037,
2005-10,1.019,
2006-01,0.034,
2006-04,0.030,
2006-07,0.035,
2006-10,1.028,
2007-01,0.042,
2007-04,0.035,
2007-07,0.047,
2007-10,1.075,
2008-01,0.052,
2008-04,0.065,
2008-07,0.077,
2008-10,1.006,
2009-01,0.051,
2009-04,0.067,
2009-07,0.080,
2009-10,0.794,
2010-01,0.080,
2010-04,0.048,
2010-07,0.067,
2010-10,0.755,
2011-01,0.059,
2011-04,0.061,
2011-07,0.074,
2011-10,0.718,
2012-01,0.065,
2012-04,0.059,
2012-07,0.074,
2012-10,0.639,
2013-01,0.057,
2013-04,0.058,
2013-07,0.064,
2013-10,0.505,
2014-01,0.059,
2014-04,0.062,
2014-07,0.065,
