"",BBK01.OEYM03N,BBK01.OEYM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:45,
2002-01,4.771,
2002-04,3.935,
2002-07,3.164,
2002-10,2.328,
2003-01,4.055,
2003-04,4.356,
2003-07,4.319,
2003-10,3.650,
2004-01,3.654,
2004-04,5.125,
2004-07,4.065,
2004-10,3.519,
2005-01,3.758,
2005-04,4.140,
2005-07,3.913,
2005-10,4.510,
2006-01,4.530,
2006-04,6.840,
2006-07,6.320,
2006-10,8.224,
2007-01,8.005,
2007-04,8.369,
2007-07,7.210,
2007-10,10.056,
2008-01,10.113,
2008-04,10.073,
2008-07,9.485,
2008-10,10.234,
2009-01,9.370,
2009-04,12.915,
2009-07,9.273,
2009-10,8.299,
2010-01,10.831,
2010-04,12.069,
2010-07,12.789,
2010-10,12.252,
2011-01,13.112,
2011-04,15.615,
2011-07,17.625,
2011-10,18.232,
2012-01,24.452,
2012-04,35.303,
2012-07,36.594,
2012-10,6.003,
2013-01,7.219,
2013-04,7.432,
2013-07,6.923,
2013-10,7.587,
2014-01,6.367,
2014-04,6.023,
2014-07,6.751,
