"",BBK01.OEAH28M,BBK01.OEAH28M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:47,
2002-01,5.746,
2002-04,5.768,
2002-07,5.756,
2002-10,5.766,
2003-01,5.738,
2003-04,5.726,
2003-07,5.675,
2003-10,5.680,
2004-01,4.444,
2004-04,4.432,
2004-07,4.763,
2004-10,1.921,
2005-01,1.888,
2005-04,1.856,
2005-07,1.817,
2005-10,1.790,
2006-01,1.795,
2006-04,1.980,
2006-07,2.315,
2006-10,1.895,
2007-01,2.850,
2007-04,2.789,
2007-07,2.693,
2007-10,2.719,
2008-01,0.374,
2008-04,0.316,
2008-07,0.347,
2008-10,0.354,
2009-01,0.351,
2009-04,0.397,
2009-07,0.402,
2009-10,0.390,
2010-01,0.374,
2010-04,0.367,
2010-07,0.356,
2010-10,0.343,
2011-01,0.333,
2011-04,0.311,
2011-07,0.304,
2011-10,0.287,
2012-01,0.121,
2012-04,0.113,
2012-07,0.100,
2012-10,0.097,
2013-01,0.094,
2013-04,0.090,
2013-07,0.088,
2013-10,0.087,
2014-01,0.078,
2014-04,0.075,
2014-07,0.071,
